<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	78.167	78.169	78.144	78.150	75	0	20
2020.12.10	11:01:00	78.149	78.172	78.144	78.145	108	0	20
2020.12.10	11:02:00	78.144	78.147	78.137	78.138	78	0	20
2020.12.10	11:03:00	78.139	78.148	78.119	78.126	69	0	20
2020.12.10	11:04:00	78.126	78.140	78.113	78.137	99	0	20
2020.12.10	11:05:00	78.136	78.169	78.133	78.157	153	0	20
2020.12.10	11:06:00	78.158	78.173	78.158	78.167	86	0	20
2020.12.10	11:07:00	78.168	78.178	78.164	78.173	60	0	20
2020.12.10	11:08:00	78.173	78.190	78.173	78.186	67	0	20
2020.12.10	11:09:00	78.185	78.186	78.174	78.178	74	0	20
2020.12.10	11:10:00	78.178	78.199	78.178	78.198	78	0	20
2020.12.10	11:11:00	78.198	78.204	78.185	78.203	53	0	20
2020.12.10	11:12:00	78.204	78.206	78.190	78.197	51	0	20
2020.12.10	11:13:00	78.197	78.197	78.190	78.191	33	0	20
2020.12.10	11:14:00	78.190	78.206	78.178	78.192	62	0	20
2020.12.10	11:15:00	78.193	78.198	78.181	78.190	89	0	20
2020.12.10	11:16:00	78.190	78.201	78.188	78.197	60	0	21
2020.12.10	11:17:00	78.198	78.209	78.198	78.201	45	0	20
2020.12.10	11:18:00	78.201	78.215	78.200	78.214	55	0	20
2020.12.10	11:19:00	78.214	78.228	78.205	78.227	46	0	20
2020.12.10	11:20:00	78.226	78.226	78.214	78.215	30	0	20
2020.12.10	11:21:00	78.214	78.218	78.203	78.203	40	0	20
2020.12.10	11:22:00	78.203	78.206	78.192	78.203	52	0	20
2020.12.10	11:23:00	78.202	78.209	78.194	78.205	64	0	20
2020.12.10	11:24:00	78.206	78.214	78.205	78.209	24	0	20
2020.12.10	11:25:00	78.209	78.236	78.209	78.235	44	0	20
2020.12.10	11:26:00	78.234	78.234	78.224	78.226	45	0	20
2020.12.10	11:27:00	78.226	78.240	78.217	78.239	41	0	20
2020.12.10	11:28:00	78.238	78.269	78.237	78.266	83	0	20
2020.12.10	11:29:00	78.267	78.267	78.253	78.261	47	0	20
2020.12.10	11:30:00	78.262	78.268	78.252	78.262	60	0	20
2020.12.10	11:31:00	78.262	78.271	78.261	78.270	66	0	20
2020.12.10	11:32:00	78.270	78.275	78.268	78.268	40	0	20
2020.12.10	11:33:00	78.269	78.272	78.263	78.271	48	0	20
2020.12.10	11:34:00	78.270	78.294	78.270	78.293	70	0	20
2020.12.10	11:35:00	78.293	78.315	78.288	78.314	79	0	20
2020.12.10	11:36:00	78.313	78.313	78.300	78.313	56	0	20
2020.12.10	11:37:00	78.313	78.318	78.304	78.304	40	0	20
2020.12.10	11:38:00	78.304	78.305	78.277	78.279	55	0	21
2020.12.10	11:39:00	78.279	78.281	78.270	78.271	65	0	20
2020.12.10	11:40:00	78.270	78.275	78.266	78.274	49	0	20
2020.12.10	11:41:00	78.274	78.280	78.269	78.273	48	0	20
2020.12.10	11:42:00	78.273	78.283	78.253	78.255	58	0	20
2020.12.10	11:43:00	78.254	78.254	78.226	78.232	83	0	20
2020.12.10	11:44:00	78.232	78.243	78.229	78.243	25	0	20
2020.12.10	11:45:00	78.243	78.247	78.236	78.237	66	0	20
2020.12.10	11:46:00	78.237	78.249	78.236	78.247	31	0	20
2020.12.10	11:47:00	78.247	78.249	78.239	78.242	60	0	20
2020.12.10	11:48:00	78.242	78.244	78.231	78.234	59	0	20
2020.12.10	11:49:00	78.234	78.241	78.230	78.237	48	0	21
2020.12.10	11:50:00	78.235	78.235	78.224	78.225	31	0	20
2020.12.10	11:51:00	78.225	78.233	78.224	78.228	37	0	20
2020.12.10	11:52:00	78.229	78.229	78.219	78.228	46	0	20
2020.12.10	11:53:00	78.228	78.232	78.216	78.218	40	0	20
2020.12.10	11:54:00	78.216	78.218	78.205	78.206	42	0	21
2020.12.10	11:55:00	78.205	78.209	78.200	78.206	59	0	20
2020.12.10	11:56:00	78.206	78.222	78.206	78.217	35	0	20
2020.12.10	11:57:00	78.217	78.217	78.178	78.180	66	0	20
