<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	1.06243	1.06263	1.06241	1.06263	57	0	32
2020.12.10	11:01:00	1.06263	1.06270	1.06256	1.06259	68	0	34
2020.12.10	11:02:00	1.06260	1.06262	1.06252	1.06252	64	0	34
2020.12.10	11:03:00	1.06252	1.06260	1.06241	1.06249	69	0	33
2020.12.10	11:04:00	1.06250	1.06251	1.06241	1.06246	69	0	31
2020.12.10	11:05:00	1.06244	1.06270	1.06244	1.06251	91	0	31
2020.12.10	11:06:00	1.06250	1.06253	1.06239	1.06240	69	0	33
2020.12.10	11:07:00	1.06240	1.06241	1.06230	1.06231	38	0	33
2020.12.10	11:08:00	1.06231	1.06251	1.06229	1.06241	58	0	33
2020.12.10	11:09:00	1.06241	1.06246	1.06234	1.06240	59	0	35
2020.12.10	11:10:00	1.06239	1.06260	1.06239	1.06259	68	0	32
2020.12.10	11:11:00	1.06258	1.06258	1.06246	1.06253	50	0	33
2020.12.10	11:12:00	1.06253	1.06254	1.06244	1.06244	33	0	31
2020.12.10	11:13:00	1.06244	1.06253	1.06243	1.06244	28	0	31
2020.12.10	11:14:00	1.06244	1.06255	1.06241	1.06246	72	0	30
2020.12.10	11:15:00	1.06246	1.06250	1.06234	1.06236	72	0	32
2020.12.10	11:16:00	1.06238	1.06246	1.06233	1.06237	43	0	35
2020.12.10	11:17:00	1.06237	1.06243	1.06224	1.06226	69	0	32
2020.12.10	11:18:00	1.06225	1.06234	1.06224	1.06232	54	0	32
2020.12.10	11:19:00	1.06232	1.06232	1.06226	1.06232	54	0	35
2020.12.10	11:20:00	1.06233	1.06233	1.06227	1.06227	45	0	34
2020.12.10	11:21:00	1.06229	1.06231	1.06224	1.06230	47	0	32
2020.12.10	11:22:00	1.06229	1.06249	1.06229	1.06243	57	0	30
2020.12.10	11:23:00	1.06242	1.06245	1.06235	1.06243	40	0	34
2020.12.10	11:24:00	1.06243	1.06252	1.06243	1.06251	25	0	36
2020.12.10	11:25:00	1.06251	1.06257	1.06239	1.06251	51	0	34
2020.12.10	11:26:00	1.06250	1.06255	1.06248	1.06253	38	0	36
2020.12.10	11:27:00	1.06253	1.06270	1.06244	1.06269	42	0	30
2020.12.10	11:28:00	1.06269	1.06282	1.06238	1.06239	71	0	31
2020.12.10	11:29:00	1.06239	1.06248	1.06228	1.06240	74	0	33
2020.12.10	11:30:00	1.06239	1.06245	1.06232	1.06236	82	0	31
2020.12.10	11:31:00	1.06236	1.06241	1.06222	1.06226	51	0	32
2020.12.10	11:32:00	1.06226	1.06233	1.06223	1.06225	65	0	34
2020.12.10	11:33:00	1.06224	1.06234	1.06224	1.06224	64	0	34
2020.12.10	11:34:00	1.06226	1.06238	1.06222	1.06238	69	0	31
2020.12.10	11:35:00	1.06234	1.06240	1.06226	1.06233	100	0	31
2020.12.10	11:36:00	1.06233	1.06259	1.06233	1.06255	47	0	32
2020.12.10	11:37:00	1.06255	1.06280	1.06253	1.06280	59	0	31
2020.12.10	11:38:00	1.06280	1.06290	1.06277	1.06284	44	0	31
2020.12.10	11:39:00	1.06284	1.06290	1.06276	1.06289	70	0	33
2020.12.10	11:40:00	1.06289	1.06289	1.06277	1.06280	55	0	34
2020.12.10	11:41:00	1.06280	1.06283	1.06275	1.06281	62	0	34
2020.12.10	11:42:00	1.06280	1.06284	1.06265	1.06265	63	0	31
2020.12.10	11:43:00	1.06265	1.06267	1.06255	1.06257	91	0	32
2020.12.10	11:44:00	1.06258	1.06260	1.06243	1.06255	67	0	31
2020.12.10	11:45:00	1.06256	1.06258	1.06248	1.06249	74	0	32
2020.12.10	11:46:00	1.06249	1.06258	1.06231	1.06232	63	0	30
2020.12.10	11:47:00	1.06235	1.06243	1.06231	1.06241	54	0	32
2020.12.10	11:48:00	1.06240	1.06253	1.06226	1.06227	69	0	31
2020.12.10	11:49:00	1.06229	1.06234	1.06226	1.06230	56	0	32
2020.12.10	11:50:00	1.06230	1.06237	1.06226	1.06230	49	0	32
2020.12.10	11:51:00	1.06227	1.06232	1.06226	1.06227	57	0	33
2020.12.10	11:52:00	1.06229	1.06232	1.06223	1.06227	58	0	35
2020.12.10	11:53:00	1.06226	1.06253	1.06224	1.06251	47	0	33
2020.12.10	11:54:00	1.06251	1.06268	1.06244	1.06265	26	0	30
2020.12.10	11:55:00	1.06266	1.06285	1.06266	1.06279	48	0	30
2020.12.10	11:56:00	1.06280	1.06299	1.06280	1.06297	29	0	31
2020.12.10	11:57:00	1.06297	1.06300	1.06274	1.06274	53	0	30
2020.12.10	11:58:00	1.06274	1.06287	1.06273	1.06279	45	0	30
