<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	220.01	220.01	219.60	219.61	16	0	222
2020.12.10	11:01:00	219.61	219.61	219.61	219.61	1	0	224
2020.12.10	11:02:00	219.61	219.61	219.53	219.56	8	0	224
2020.12.10	11:03:00	219.57	219.58	219.56	219.58	5	0	225
2020.12.10	11:04:00	219.58	219.63	219.58	219.63	2	0	226
2020.12.10	11:05:00	219.64	219.64	219.59	219.61	8	0	225
2020.12.10	11:06:00	219.49	219.61	219.47	219.55	30	0	221
2020.12.10	11:07:00	219.55	219.55	219.55	219.55	1	0	229
2020.12.10	11:08:00	219.58	219.69	219.55	219.67	45	0	221
2020.12.10	11:09:00	219.67	219.78	219.67	219.78	18	0	224
2020.12.10	11:10:00	219.78	219.81	219.54	219.56	20	0	224
2020.12.10	11:11:00	219.40	219.56	219.40	219.51	16	0	224
2020.12.10	11:12:00	219.51	219.78	219.51	219.78	25	0	226
2020.12.10	11:13:00	219.77	219.92	219.77	219.90	30	0	225
2020.12.10	11:14:00	219.87	219.87	219.71	219.71	11	0	222
2020.12.10	11:15:00	219.71	219.71	219.61	219.65	18	0	223
2020.12.10	11:16:00	219.66	219.68	219.54	219.65	20	0	223
2020.12.10	11:17:00	219.66	219.87	219.65	219.86	40	0	222
2020.12.10	11:18:00	219.87	219.90	219.80	219.86	24	0	222
2020.12.10	11:19:00	219.86	219.86	219.73	219.79	35	0	222
2020.12.10	11:20:00	219.79	219.81	219.75	219.77	20	0	223
2020.12.10	11:21:00	219.77	219.77	219.71	219.73	18	0	225
2020.12.10	11:22:00	219.73	219.73	219.64	219.71	7	0	226
2020.12.10	11:23:00	219.71	219.71	219.71	219.71	1	0	228
2020.12.10	11:24:00	219.71	219.71	219.61	219.71	9	0	223
2020.12.10	11:25:00	219.80	220.30	219.71	220.30	28	0	221
2020.12.10	11:26:00	220.38	220.39	220.21	220.34	38	0	221
2020.12.10	11:27:00	220.35	220.37	220.10	220.19	28	0	224
2020.12.10	11:28:00	220.11	220.14	220.02	220.10	13	0	221
2020.12.10	11:29:00	220.10	220.10	220.02	220.05	7	0	221
2020.12.10	11:30:00	220.05	220.06	219.91	219.91	4	0	222
2020.12.10	11:31:00	219.93	219.94	219.64	219.74	26	0	222
2020.12.10	11:32:00	219.75	219.75	219.71	219.72	17	0	221
2020.12.10	11:33:00	219.72	219.95	219.72	219.94	45	0	221
2020.12.10	11:34:00	219.95	220.08	219.95	220.08	21	0	223
2020.12.10	11:35:00	220.03	220.08	219.91	219.94	21	0	221
