<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	49.06	49.07	49.03	49.03	16	0	4
2020.12.10	11:01:00	49.03	49.03	48.96	49.00	13	0	4
2020.12.10	11:02:00	49.00	49.02	49.00	49.02	7	0	4
2020.12.10	11:03:00	49.02	49.04	49.02	49.03	11	0	4
2020.12.10	11:04:00	49.02	49.10	49.02	49.09	22	0	4
2020.12.10	11:05:00	49.09	49.13	49.09	49.13	11	0	4
2020.12.10	11:06:00	49.13	49.15	49.13	49.14	16	0	4
2020.12.10	11:07:00	49.14	49.15	49.13	49.14	16	0	4
2020.12.10	11:08:00	49.15	49.19	49.15	49.17	21	0	4
2020.12.10	11:09:00	49.17	49.19	49.13	49.13	12	0	4
2020.12.10	11:10:00	49.14	49.16	49.13	49.15	14	0	4
2020.12.10	11:11:00	49.15	49.17	49.15	49.16	8	0	4
2020.12.10	11:12:00	49.16	49.16	49.13	49.16	13	0	4
2020.12.10	11:13:00	49.16	49.17	49.12	49.13	16	0	4
2020.12.10	11:14:00	49.12	49.14	49.12	49.14	7	0	4
2020.12.10	11:15:00	49.14	49.16	49.14	49.15	8	0	4
2020.12.10	11:16:00	49.15	49.16	49.14	49.15	5	0	4
2020.12.10	11:17:00	49.15	49.15	49.12	49.12	7	0	4
2020.12.10	11:18:00	49.13	49.13	49.11	49.11	17	0	4
2020.12.10	11:19:00	49.10	49.13	49.09	49.13	18	0	4
2020.12.10	11:20:00	49.14	49.15	49.13	49.14	5	0	4
2020.12.10	11:21:00	49.14	49.15	49.13	49.13	8	0	4
2020.12.10	11:22:00	49.13	49.14	49.12	49.14	10	0	4
2020.12.10	11:23:00	49.14	49.14	49.12	49.13	6	0	4
2020.12.10	11:24:00	49.13	49.15	49.13	49.14	6	0	4
2020.12.10	11:25:00	49.13	49.18	49.13	49.17	10	0	4
2020.12.10	11:26:00	49.17	49.21	49.17	49.18	8	0	4
2020.12.10	11:27:00	49.18	49.19	49.18	49.19	2	0	4
2020.12.10	11:28:00	49.19	49.19	49.18	49.19	5	0	4
2020.12.10	11:29:00	49.19	49.19	49.18	49.18	4	0	4
2020.12.10	11:30:00	49.17	49.17	49.16	49.16	4	0	4
2020.12.10	11:31:00	49.16	49.17	49.15	49.17	10	0	4
2020.12.10	11:32:00	49.17	49.19	49.17	49.17	12	0	4
2020.12.10	11:33:00	49.17	49.22	49.17	49.22	9	0	4
2020.12.10	11:34:00	49.22	49.22	49.21	49.22	5	0	4
2020.12.10	11:35:00	49.22	49.22	49.21	49.22	5	0	4
2020.12.10	11:36:00	49.22	49.26	49.22	49.24	16	0	4
2020.12.10	11:37:00	49.24	49.24	49.21	49.21	12	0	4
2020.12.10	11:38:00	49.21	49.22	49.14	49.14	26	0	4
2020.12.10	11:39:00	49.14	49.14	49.10	49.13	22	0	4
2020.12.10	11:40:00	49.12	49.16	49.12	49.15	8	0	4
2020.12.10	11:41:00	49.16	49.16	49.13	49.15	8	0	4
2020.12.10	11:42:00	49.15	49.17	49.14	49.15	9	0	4
2020.12.10	11:43:00	49.15	49.16	49.14	49.16	4	0	4
2020.12.10	11:44:00	49.16	49.16	49.14	49.14	3	0	4
2020.12.10	11:45:00	49.14	49.15	49.10	49.13	15	0	4
2020.12.10	11:46:00	49.13	49.14	49.11	49.12	17	0	4
2020.12.10	11:47:00	49.12	49.15	49.12	49.14	7	0	4
2020.12.10	11:48:00	49.14	49.14	49.12	49.12	7	0	4
2020.12.10	11:49:00	49.13	49.14	49.12	49.14	6	0	4
2020.12.10	11:50:00	49.13	49.15	49.13	49.15	9	0	4
2020.12.10	11:51:00	49.15	49.16	49.14	49.16	8	0	4
2020.12.10	11:52:00	49.16	49.16	49.14	49.15	6	0	4
2020.12.10	11:53:00	49.15	49.15	49.14	49.15	3	0	4
2020.12.10	11:54:00	49.15	49.16	49.15	49.15	5	0	4
2020.12.10	11:55:00	49.15	49.16	49.14	49.16	4	0	4
2020.12.10	11:56:00	49.16	49.18	49.15	49.17	10	0	4
2020.12.10	11:57:00	49.17	49.18	49.16	49.18	4	0	4
2020.12.10	11:58:00	49.18	49.19	49.17	49.18	17	0	4
2020.12.10	11:59:00	49.18	49.19	49.17	49.18	11	0	4
2020.12.10	12:00:00	49.18	49.18	49.15	49.17	14	0	4
2020.12.10	12:01:00	49.18	49.18	49.13	49.14	19	0	4
2020.12.10	12:02:00	49.14	49.19	49.14	49.18	21	0	4
2020.12.10	12:03:00	49.19	49.25	49.18	49.24	19	0	4
2020.12.10	12:04:00	49.24	49.25	49.23	49.24	7	0	4
2020.12.10	12:05:00	49.24	49.24	49.22	49.22	9	0	4
2020.12.10	12:06:00	49.23	49.25	49.22	49.25	9	0	4
2020.12.10	12:07:00	49.25	49.27	49.24	49.24	14	0	4
2020.12.10	12:08:00	49.23	49.25	49.23	49.24	6	0	4
2020.12.10	12:09:00	49.24	49.24	49.22	49.23	4	0	4
2020.12.10	12:10:00	49.23	49.28	49.23	49.28	8	0	4
2020.12.10	12:11:00	49.28	49.28	49.28	49.28	1	0	4
2020.12.10	12:12:00	49.28	49.28	49.25	49.26	7	0	4
2020.12.10	12:13:00	49.25	49.27	49.25	49.27	5	0	4
2020.12.10	12:14:00	49.27	49.27	49.24	49.25	11	0	4
2020.12.10	12:15:00	49.26	49.28	49.25	49.25	6	0	4
2020.12.10	12:16:00	49.25	49.27	49.25	49.26	6	0	4
2020.12.10	12:17:00	49.26	49.27	49.26	49.26	7	0	4
2020.12.10	12:18:00	49.26	49.26	49.26	49.26	1	0	5
2020.12.10	12:19:00	49.26	49.31	49.26	49.30	12	0	4
2020.12.10	12:20:00	49.30	49.32	49.29	49.30	15	0	4
2020.12.10	12:21:00	49.30	49.32	49.29	49.31	10	0	4
2020.12.10	12:22:00	49.31	49.32	49.29	49.31	17	0	4
2020.12.10	12:23:00	49.31	49.32	49.31	49.31	5	0	4
2020.12.10	12:24:00	49.32	49.32	49.29	49.30	13	0	4
2020.12.10	12:25:00	49.30	49.31	49.28	49.31	7	0	4
2020.12.10	12:26:00	49.31	49.32	49.30	49.31	7	0	4
2020.12.10	12:27:00	49.31	49.32	49.31	49.31	5	0	4
2020.12.10	12:28:00	49.31	49.32	49.31	49.31	3	0	4
2020.12.10	12:29:00	49.31	49.32	49.30	49.32	8	0	4
2020.12.10	12:30:00	49.32	49.32	49.30	49.30	3	0	4
2020.12.10	12:31:00	49.30	49.30	49.29	49.30	3	0	4
2020.12.10	12:32:00	49.30	49.30	49.29	49.30	5	0	4
2020.12.10	12:33:00	49.30	49.30	49.29	49.30	3	0	4
2020.12.10	12:34:00	49.30	49.30	49.27	49.27	4	0	4
2020.12.10	12:35:00	49.27	49.30	49.26	49.30	10	0	4
2020.12.10	12:36:00	49.30	49.31	49.29	49.31	6	0	4
2020.12.10	12:37:00	49.31	49.31	49.31	49.31	1	0	4
2020.12.10	12:38:00	49.31	49.31	49.30	49.30	6	0	4
2020.12.10	12:39:00	49.31	49.32	49.31	49.32	2	0	4
2020.12.10	12:40:00	49.32	49.32	49.32	49.32	1	0	4
2020.12.10	12:41:00	49.32	49.32	49.32	49.32	1	0	4
2020.12.10	12:42:00	49.32	49.32	49.29	49.30	11	0	4
2020.12.10	12:43:00	49.30	49.31	49.28	49.28	11	0	4
2020.12.10	12:44:00	49.28	49.29	49.26	49.29	10	0	4
2020.12.10	12:45:00	49.29	49.31	49.29	49.30	8	0	4
2020.12.10	12:46:00	49.31	49.39	49.31	49.36	22	0	4
2020.12.10	12:47:00	49.36	49.40	49.36	49.37	20	0	4
2020.12.10	12:48:00	49.38	49.40	49.37	49.39	14	0	4
2020.12.10	12:49:00	49.39	49.41	49.38	49.40	18	0	4
2020.12.10	12:50:00	49.40	49.44	49.40	49.44	17	0	4
2020.12.10	12:51:00	49.45	49.47	49.45	49.47	17	0	4
2020.12.10	12:52:00	49.47	49.48	49.46	49.47	7	0	4
2020.12.10	12:53:00	49.47	49.52	49.47	49.50	18	0	4
2020.12.10	12:54:00	49.50	49.52	49.50	49.51	18	0	4
2020.12.10	12:55:00	49.51	49.52	49.51	49.52	4	0	4
2020.12.10	12:56:00	49.52	49.52	49.46	49.47	9	0	4
2020.12.10	12:57:00	49.47	49.49	49.47	49.47	7	0	4
2020.12.10	12:58:00	49.47	49.48	49.45	49.48	9	0	4
2020.12.10	12:59:00	49.47	49.50	49.47	49.48	10	0	4
2020.12.10	13:00:00	49.48	49.52	49.48	49.48	13	0	4
2020.12.10	13:01:00	49.48	49.50	49.48	49.50	5	0	4
2020.12.10	13:02:00	49.50	49.50	49.50	49.50	1	0	4
2020.12.10	13:03:00	49.50	49.50	49.50	49.50	1	0	4
2020.12.10	13:04:00	49.50	49.52	49.50	49.52	3	0	4
2020.12.10	13:05:00	49.52	49.59	49.51	49.58	7	0	4
2020.12.10	13:06:00	49.58	49.59	49.55	49.55	11	0	4
2020.12.10	13:07:00	49.55	49.61	49.55	49.60	23	0	4
2020.12.10	13:08:00	49.61	49.68	49.61	49.67	25	0	4
2020.12.10	13:09:00	49.67	49.68	49.64	49.64	22	0	4
2020.12.10	13:10:00	49.65	49.70	49.65	49.70	7	0	4
2020.12.10	13:11:00	49.69	49.71	49.68	49.69	11	0	4
2020.12.10	13:12:00	49.69	49.70	49.69	49.69	5	0	4
2020.12.10	13:13:00	49.69	49.70	49.63	49.64	12	0	4
2020.12.10	13:14:00	49.63	49.64	49.56	49.58	33	0	4
2020.12.10	13:15:00	49.58	49.61	49.58	49.60	17	0	4
2020.12.10	13:16:00	49.60	49.60	49.56	49.58	16	0	4
2020.12.10	13:17:00	49.57	49.59	49.57	49.58	6	0	4
2020.12.10	13:18:00	49.57	49.58	49.55	49.55	9	0	4
