<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	117.463	117.463	117.443	117.444	70	0	54
2020.12.10	11:01:00	117.443	117.463	117.430	117.434	96	0	51
2020.12.10	11:02:00	117.433	117.438	117.418	117.427	68	0	52
2020.12.10	11:03:00	117.428	117.432	117.416	117.417	50	0	53
2020.12.10	11:04:00	117.418	117.420	117.405	117.418	78	0	51
2020.12.10	11:05:00	117.417	117.425	117.394	117.395	98	0	51
2020.12.10	11:06:00	117.396	117.424	117.393	117.420	76	0	52
2020.12.10	11:07:00	117.420	117.436	117.420	117.435	54	0	53
2020.12.10	11:08:00	117.435	117.436	117.429	117.435	41	0	51
2020.12.10	11:09:00	117.434	117.436	117.413	117.414	48	0	53
2020.12.10	11:10:00	117.414	117.422	117.407	117.420	56	0	55
2020.12.10	11:11:00	117.421	117.440	117.418	117.440	41	0	53
2020.12.10	11:12:00	117.441	117.458	117.435	117.457	41	0	52
2020.12.10	11:13:00	117.458	117.458	117.452	117.457	26	0	54
2020.12.10	11:14:00	117.456	117.456	117.450	117.452	40	0	55
2020.12.10	11:15:00	117.452	117.452	117.431	117.431	81	0	54
2020.12.10	11:16:00	117.430	117.437	117.429	117.434	57	0	53
2020.12.10	11:17:00	117.434	117.442	117.429	117.439	36	0	56
2020.12.10	11:18:00	117.439	117.442	117.433	117.439	32	0	56
2020.12.10	11:19:00	117.437	117.461	117.432	117.456	55	0	52
2020.12.10	11:20:00	117.456	117.458	117.450	117.457	48	0	53
2020.12.10	11:21:00	117.456	117.473	117.456	117.470	56	0	53
2020.12.10	11:22:00	117.470	117.480	117.464	117.479	55	0	53
2020.12.10	11:23:00	117.480	117.483	117.463	117.478	58	0	53
2020.12.10	11:24:00	117.478	117.490	117.470	117.470	52	0	52
2020.12.10	11:25:00	117.470	117.470	117.456	117.458	58	0	51
2020.12.10	11:26:00	117.455	117.458	117.440	117.445	50	0	51
2020.12.10	11:27:00	117.445	117.457	117.442	117.442	37	0	53
2020.12.10	11:28:00	117.442	117.468	117.442	117.444	73	0	51
2020.12.10	11:29:00	117.444	117.444	117.417	117.430	54	0	51
2020.12.10	11:30:00	117.430	117.445	117.430	117.442	45	0	54
2020.12.10	11:31:00	117.442	117.458	117.438	117.454	72	0	52
2020.12.10	11:32:00	117.457	117.458	117.438	117.448	40	0	53
2020.12.10	11:33:00	117.447	117.457	117.439	117.457	63	0	52
2020.12.10	11:34:00	117.457	117.468	117.453	117.459	66	0	54
2020.12.10	11:35:00	117.459	117.507	117.459	117.494	88	0	52
2020.12.10	11:36:00	117.493	117.494	117.474	117.481	79	0	52
2020.12.10	11:37:00	117.482	117.487	117.480	117.483	46	0	51
