<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:45:00	2536.5	2539.5	2530.5	2532.5	33	0	48
2020.12.10	11:46:00	2530.5	2532.5	2530.5	2530.5	22	0	48
2020.12.10	11:47:00	2531.5	2532.5	2531.5	2531.5	7	0	48
2020.12.10	11:48:00	2532.5	2532.5	2531.5	2531.5	4	0	48
2020.12.10	11:49:00	2533.0	2537.0	2533.0	2536.0	7	0	48
2020.12.10	11:50:00	2535.0	2536.0	2535.0	2536.0	2	0	48
2020.12.10	11:51:00	2536.5	2538.0	2536.5	2538.0	3	0	48
2020.12.10	11:52:00	2538.0	2538.5	2536.5	2537.0	7	0	48
2020.12.10	11:53:00	2536.5	2536.5	2534.0	2534.0	4	0	48
2020.12.10	11:54:00	2534.5	2534.5	2533.0	2533.5	5	0	48
2020.12.10	11:55:00	2534.5	2535.0	2534.5	2534.5	3	0	48
2020.12.10	11:56:00	2535.0	2535.5	2535.0	2535.5	2	0	48
2020.12.10	11:57:00	2535.0	2536.0	2535.0	2535.5	6	0	48
2020.12.10	11:58:00	2535.0	2535.5	2534.5	2535.0	10	0	48
2020.12.10	11:59:00	2535.5	2535.5	2531.5	2532.0	12	0	48
2020.12.10	12:00:00	2532.0	2532.0	2530.5	2531.0	5	0	48
2020.12.10	12:01:00	2531.5	2532.0	2531.5	2532.0	2	0	48
2020.12.10	12:02:00	2532.0	2533.0	2532.0	2533.0	3	0	48
2020.12.10	12:03:00	2533.5	2535.0	2531.5	2532.0	7	0	48
2020.12.10	12:04:00	2532.0	2532.0	2530.5	2531.0	4	0	48
2020.12.10	12:05:00	2531.5	2532.0	2531.0	2532.0	6	0	48
2020.12.10	12:06:00	2531.5	2531.5	2531.0	2531.0	4	0	48
2020.12.10	12:07:00	2530.5	2530.5	2530.5	2530.5	1	0	48
2020.12.10	12:08:00	2530.5	2530.5	2530.5	2530.5	1	0	48
