<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	349.42	349.42	349.32	349.39	9	0	38
2020.12.10	11:01:00	349.39	349.44	349.29	349.29	15	0	38
2020.12.10	11:02:00	349.29	349.32	349.17	349.17	12	0	38
2020.12.10	11:03:00	349.19	349.24	349.19	349.24	5	0	38
2020.12.10	11:04:00	349.24	349.24	349.09	349.17	16	0	38
2020.12.10	11:05:00	349.17	349.59	349.17	349.59	23	0	38
2020.12.10	11:06:00	349.59	349.62	349.54	349.57	12	0	38
2020.12.10	11:07:00	349.57	349.59	349.49	349.59	14	0	38
2020.12.10	11:08:00	349.59	349.86	349.59	349.84	15	0	38
2020.12.10	11:09:00	349.84	349.84	349.62	349.62	6	0	38
2020.12.10	11:10:00	349.59	349.69	349.49	349.52	11	0	38
2020.12.10	11:11:00	349.54	349.62	349.52	349.62	8	0	38
2020.12.10	11:12:00	349.59	349.59	349.47	349.54	14	0	38
2020.12.10	11:13:00	349.54	349.54	349.44	349.49	8	0	38
2020.12.10	11:14:00	349.47	349.47	349.39	349.44	13	0	38
2020.12.10	11:15:00	349.47	349.57	349.37	349.37	14	0	38
2020.12.10	11:16:00	349.34	349.39	349.34	349.37	14	0	38
2020.12.10	11:17:00	349.39	349.54	349.39	349.39	8	0	38
2020.12.10	11:18:00	349.39	349.59	349.39	349.57	14	0	38
2020.12.10	11:19:00	349.54	349.62	349.49	349.59	13	0	38
2020.12.10	11:20:00	349.59	349.69	349.59	349.67	7	0	38
2020.12.10	11:21:00	349.67	349.67	349.59	349.59	6	0	38
2020.12.10	11:22:00	349.54	349.59	349.54	349.57	10	0	38
2020.12.10	11:23:00	349.59	349.59	349.52	349.54	9	0	38
2020.12.10	11:24:00	349.59	349.59	349.54	349.54	11	0	38
2020.12.10	11:25:00	349.52	349.72	349.49	349.72	12	0	38
2020.12.10	11:26:00	349.69	349.74	349.69	349.72	12	0	38
2020.12.10	11:27:00	349.72	349.74	349.64	349.72	12	0	38
2020.12.10	11:28:00	349.72	349.84	349.69	349.79	18	0	38
2020.12.10	11:29:00	349.82	349.84	349.79	349.79	9	0	38
2020.12.10	11:30:00	349.74	349.82	349.69	349.74	18	0	38
2020.12.10	11:31:00	349.74	349.79	349.72	349.79	11	0	38
2020.12.10	11:32:00	349.79	349.84	349.69	349.69	13	0	38
2020.12.10	11:33:00	349.69	349.72	349.59	349.69	11	0	38
2020.12.10	11:34:00	349.69	349.84	349.69	349.82	13	0	38
2020.12.10	11:35:00	349.84	349.91	349.84	349.89	7	0	38
2020.12.10	11:36:00	349.89	349.94	349.79	349.84	12	0	38
2020.12.10	11:37:00	349.84	349.84	349.79	349.79	2	0	38
2020.12.10	11:38:00	349.79	349.79	349.59	349.59	5	0	38
2020.12.10	11:39:00	349.59	349.67	349.54	349.67	15	0	38
2020.12.10	11:40:00	349.64	349.69	349.64	349.64	15	0	38
2020.12.10	11:41:00	349.64	349.67	349.64	349.64	3	0	38
2020.12.10	11:42:00	349.59	349.64	349.54	349.62	12	0	38
2020.12.10	11:43:00	349.59	349.74	349.59	349.74	10	0	38
2020.12.10	11:44:00	349.77	349.77	349.64	349.64	9	0	38
2020.12.10	11:45:00	349.64	349.69	349.64	349.67	7	0	38
2020.12.10	11:46:00	349.67	349.79	349.67	349.79	4	0	38
2020.12.10	11:47:00	349.82	349.89	349.82	349.82	7	0	38
2020.12.10	11:48:00	349.79	349.79	349.69	349.72	10	0	38
2020.12.10	11:49:00	349.72	349.72	349.64	349.64	13	0	38
2020.12.10	11:50:00	349.64	349.69	349.64	349.69	2	0	38
2020.12.10	11:51:00	349.72	349.79	349.69	349.79	7	0	38
2020.12.10	11:52:00	349.79	349.79	349.69	349.77	8	0	38
