<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	72.259	72.259	72.239	72.239	2	0	180
2020.12.10	11:01:00	72.234	72.234	72.229	72.229	2	0	180
2020.12.10	11:02:00	72.229	72.229	72.229	72.229	1	0	180
2020.12.10	11:03:00	72.224	72.224	72.214	72.214	2	0	180
2020.12.10	11:05:00	72.199	72.229	72.199	72.229	3	0	180
2020.12.10	11:06:00	72.224	72.224	72.224	72.224	1	0	180
2020.12.10	11:07:00	72.254	72.278	72.254	72.254	5	0	180
2020.12.10	11:08:00	72.254	72.254	72.254	72.254	1	0	180
2020.12.10	11:09:00	72.259	72.259	72.229	72.229	5	0	180
2020.12.10	11:11:00	72.234	72.234	72.224	72.224	2	0	180
2020.12.10	11:12:00	72.244	72.249	72.239	72.249	3	0	180
2020.12.10	11:13:00	72.249	72.249	72.229	72.229	3	0	180
2020.12.10	11:14:00	72.224	72.229	72.219	72.219	3	0	180
2020.12.10	11:15:00	72.219	72.219	72.199	72.209	3	0	180
2020.12.10	11:16:00	72.209	72.209	72.209	72.209	1	0	180
2020.12.10	11:17:00	72.209	72.209	72.209	72.209	1	0	180
2020.12.10	11:18:00	72.209	72.239	72.209	72.224	4	0	180
2020.12.10	11:19:00	72.229	72.229	72.214	72.224	5	0	180
2020.12.10	11:20:00	72.229	72.229	72.229	72.229	1	0	180
2020.12.10	11:21:00	72.234	72.234	72.234	72.234	1	0	180
2020.12.10	11:22:00	72.229	72.229	72.204	72.219	7	0	180
2020.12.10	11:23:00	72.229	72.229	72.219	72.224	5	0	180
2020.12.10	11:24:00	72.224	72.224	72.224	72.224	1	0	180
2020.12.10	11:25:00	72.224	72.239	72.224	72.239	4	0	180
2020.12.10	11:26:00	72.249	72.264	72.249	72.264	3	0	180
2020.12.10	11:27:00	72.259	72.264	72.249	72.264	4	0	180
2020.12.10	11:28:00	72.259	72.264	72.259	72.259	3	0	180
2020.12.10	11:29:00	72.259	72.264	72.259	72.259	3	0	180
2020.12.10	11:30:00	72.264	72.264	72.259	72.259	2	0	180
2020.12.10	11:31:00	72.264	72.264	72.264	72.264	1	0	180
2020.12.10	11:32:00	72.264	72.269	72.259	72.269	3	0	180
2020.12.10	11:33:00	72.273	72.273	72.269	72.269	2	0	180
2020.12.10	11:34:00	72.273	72.273	72.269	72.269	2	0	180
2020.12.10	11:35:00	72.264	72.264	72.259	72.264	3	0	180
2020.12.10	11:36:00	72.259	72.264	72.259	72.264	2	0	180
2020.12.10	11:37:00	72.264	72.264	72.264	72.264	1	0	180
2020.12.10	11:38:00	72.259	72.259	72.259	72.259	1	0	180
2020.12.10	11:39:00	72.239	72.239	72.239	72.239	1	0	180
2020.12.10	11:40:00	72.239	72.239	72.239	72.239	1	0	180
2020.12.10	11:41:00	72.239	72.239	72.239	72.239	1	0	180
2020.12.10	11:42:00	72.239	72.239	72.239	72.239	1	0	180
2020.12.10	11:43:00	72.239	72.239	72.234	72.234	2	0	180
2020.12.10	11:45:00	72.234	72.234	72.234	72.234	1	0	180
2020.12.10	11:46:00	72.234	72.234	72.234	72.234	1	0	180
2020.12.10	11:48:00	72.234	72.234	72.214	72.214	3	0	180
2020.12.10	11:50:00	72.214	72.229	72.214	72.229	2	0	180
2020.12.10	11:51:00	72.214	72.214	72.194	72.194	3	0	180
2020.12.10	11:53:00	72.194	72.194	72.179	72.179	2	0	180
2020.12.10	11:54:00	72.174	72.174	72.174	72.174	1	0	180
2020.12.10	11:55:00	72.169	72.229	72.169	72.229	3	0	180
2020.12.10	11:57:00	72.229	72.229	72.229	72.229	1	0	180
2020.12.10	11:58:00	72.214	72.303	72.214	72.278	11	0	180
2020.12.10	12:00:00	72.273	72.293	72.273	72.293	4	0	180
2020.12.10	12:01:00	72.283	72.283	72.259	72.259	7	0	180
2020.12.10	12:02:00	72.254	72.254	72.244	72.244	3	0	180
2020.12.10	12:03:00	72.249	72.249	72.244	72.244	2	0	180
2020.12.10	12:04:00	72.244	72.244	72.244	72.244	1	0	180
2020.12.10	12:05:00	72.239	72.239	72.239	72.239	1	0	180
2020.12.10	12:06:00	72.239	72.249	72.194	72.249	6	0	180
2020.12.10	12:07:00	72.254	72.259	72.254	72.259	2	0	180
2020.12.10	12:08:00	72.254	72.259	72.249	72.249	3	0	180
2020.12.10	12:09:00	72.249	72.249	72.249	72.249	1	0	180
2020.12.10	12:10:00	72.249	72.249	72.249	72.249	1	0	180
2020.12.10	12:12:00	72.259	72.269	72.259	72.269	3	0	180
2020.12.10	12:13:00	72.269	72.283	72.259	72.269	7	0	180
2020.12.10	12:14:00	72.283	72.293	72.273	72.283	9	0	180
2020.12.10	12:15:00	72.273	72.278	72.273	72.273	3	0	180
2020.12.10	12:16:00	72.269	72.269	72.269	72.269	1	0	180
2020.12.10	12:17:00	72.269	72.278	72.269	72.273	4	0	180
2020.12.10	12:19:00	72.273	72.293	72.273	72.293	5	0	180
2020.12.10	12:21:00	72.308	72.323	72.308	72.313	5	0	180
2020.12.10	12:22:00	72.313	72.318	72.308	72.308	9	0	180
2020.12.10	12:23:00	72.308	72.308	72.308	72.308	1	0	180
2020.12.10	12:24:00	72.298	72.303	72.298	72.298	3	0	180
2020.12.10	12:25:00	72.293	72.293	72.293	72.293	1	0	180
2020.12.10	12:26:00	72.298	72.303	72.298	72.298	3	0	180
2020.12.10	12:27:00	72.303	72.328	72.303	72.328	6	0	180
2020.12.10	12:28:00	72.318	72.323	72.313	72.313	4	0	180
2020.12.10	12:29:00	72.308	72.422	72.308	72.407	20	0	180
2020.12.10	12:30:00	72.402	72.402	72.382	72.382	5	0	180
