<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	45.92	45.93	45.88	45.88	14	0	4
2020.12.10	11:01:00	45.88	45.89	45.82	45.86	22	0	4
2020.12.10	11:02:00	45.87	45.88	45.86	45.87	9	0	4
2020.12.10	11:03:00	45.89	45.89	45.87	45.88	6	0	4
2020.12.10	11:04:00	45.87	45.95	45.87	45.94	12	0	4
2020.12.10	11:05:00	45.95	45.98	45.94	45.98	8	0	4
2020.12.10	11:06:00	45.99	46.00	45.98	45.99	14	0	4
2020.12.10	11:07:00	45.98	45.99	45.97	45.98	9	0	3
2020.12.10	11:08:00	45.99	46.03	45.99	46.01	12	0	4
2020.12.10	11:09:00	46.02	46.03	45.98	45.98	15	0	5
2020.12.10	11:10:00	45.99	46.00	45.98	45.99	13	0	5
2020.12.10	11:11:00	46.00	46.00	45.99	45.99	4	0	6
2020.12.10	11:12:00	46.00	46.01	45.98	46.01	5	0	4
2020.12.10	11:13:00	46.01	46.02	45.98	45.99	11	0	3
2020.12.10	11:14:00	45.98	45.99	45.98	45.99	12	0	4
2020.12.10	11:15:00	46.00	46.01	46.00	46.00	3	0	4
2020.12.10	11:16:00	46.00	46.01	45.99	46.00	7	0	4
2020.12.10	11:17:00	45.99	46.00	45.99	45.99	7	0	4
2020.12.10	11:18:00	45.99	45.99	45.96	45.97	7	0	3
2020.12.10	11:19:00	45.96	45.99	45.95	45.99	8	0	4
2020.12.10	11:20:00	45.99	46.00	45.98	45.99	5	0	3
2020.12.10	11:21:00	46.00	46.00	45.98	45.98	7	0	4
2020.12.10	11:22:00	45.98	45.99	45.97	45.99	8	0	4
2020.12.10	11:23:00	45.99	45.99	45.97	45.98	6	0	4
2020.12.10	11:24:00	45.98	46.00	45.98	45.99	4	0	4
2020.12.10	11:25:00	45.99	46.03	45.99	46.02	11	0	4
2020.12.10	11:26:00	46.03	46.03	46.02	46.02	2	0	4
2020.12.10	11:27:00	46.03	46.03	46.03	46.03	1	0	5
2020.12.10	11:28:00	46.04	46.05	46.02	46.04	7	0	4
2020.12.10	11:29:00	46.03	46.04	46.03	46.03	3	0	4
2020.12.10	11:30:00	46.02	46.03	46.02	46.02	3	0	4
2020.12.10	11:31:00	46.01	46.04	46.01	46.04	8	0	4
2020.12.10	11:32:00	46.03	46.05	46.02	46.02	10	0	4
2020.12.10	11:33:00	46.03	46.08	46.03	46.07	9	0	3
2020.12.10	11:34:00	46.08	46.08	46.07	46.07	12	0	4
2020.12.10	11:35:00	46.07	46.08	46.07	46.07	5	0	4
2020.12.10	11:36:00	46.07	46.11	46.07	46.09	19	0	3
2020.12.10	11:37:00	46.08	46.08	46.07	46.07	8	0	4
2020.12.10	11:38:00	46.06	46.07	45.99	45.99	24	0	4
2020.12.10	11:39:00	45.98	45.99	45.94	45.96	15	0	4
2020.12.10	11:40:00	45.95	45.99	45.95	45.98	10	0	4
2020.12.10	11:41:00	45.99	45.99	45.97	45.98	6	0	4
2020.12.10	11:42:00	45.99	46.00	45.98	45.98	8	0	4
2020.12.10	11:43:00	45.98	45.99	45.98	45.99	6	0	4
2020.12.10	11:44:00	46.00	46.00	45.98	45.98	5	0	4
2020.12.10	11:45:00	45.99	45.99	45.94	45.96	15	0	3
2020.12.10	11:46:00	45.97	45.97	45.94	45.95	13	0	3
2020.12.10	11:47:00	45.96	45.97	45.95	45.96	7	0	4
