<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	1.61646	1.61661	1.61638	1.61651	74	0	23
2020.12.10	11:01:00	1.61651	1.61651	1.61617	1.61640	87	0	23
2020.12.10	11:02:00	1.61641	1.61648	1.61621	1.61636	77	0	23
2020.12.10	11:03:00	1.61636	1.61670	1.61628	1.61654	70	0	23
2020.12.10	11:04:00	1.61656	1.61685	1.61654	1.61661	127	0	23
2020.12.10	11:05:00	1.61662	1.61665	1.61577	1.61586	160	0	23
2020.12.10	11:06:00	1.61586	1.61593	1.61564	1.61590	96	0	23
2020.12.10	11:07:00	1.61590	1.61603	1.61581	1.61591	63	0	23
2020.12.10	11:08:00	1.61591	1.61591	1.61563	1.61569	79	0	23
2020.12.10	11:09:00	1.61569	1.61585	1.61544	1.61544	78	0	23
2020.12.10	11:10:00	1.61543	1.61548	1.61518	1.61520	97	0	23
2020.12.10	11:11:00	1.61520	1.61565	1.61520	1.61553	76	0	23
2020.12.10	11:12:00	1.61553	1.61569	1.61550	1.61557	70	0	23
2020.12.10	11:13:00	1.61556	1.61586	1.61556	1.61582	69	0	23
2020.12.10	11:14:00	1.61582	1.61602	1.61550	1.61578	82	0	23
2020.12.10	11:15:00	1.61575	1.61595	1.61560	1.61562	114	0	23
2020.12.10	11:16:00	1.61559	1.61581	1.61558	1.61574	77	0	23
2020.12.10	11:17:00	1.61572	1.61578	1.61556	1.61577	62	0	23
2020.12.10	11:18:00	1.61577	1.61583	1.61546	1.61562	72	0	23
2020.12.10	11:19:00	1.61563	1.61584	1.61562	1.61572	70	0	23
2020.12.10	11:20:00	1.61572	1.61602	1.61571	1.61597	78	0	23
2020.12.10	11:21:00	1.61597	1.61638	1.61597	1.61633	75	0	23
2020.12.10	11:22:00	1.61633	1.61658	1.61633	1.61652	76	0	23
2020.12.10	11:23:00	1.61653	1.61654	1.61634	1.61645	63	0	23
2020.12.10	11:24:00	1.61644	1.61647	1.61624	1.61624	55	0	23
2020.12.10	11:25:00	1.61624	1.61636	1.61598	1.61599	92	0	23
2020.12.10	11:26:00	1.61599	1.61612	1.61598	1.61600	68	0	23
2020.12.10	11:27:00	1.61601	1.61624	1.61580	1.61580	60	0	23
2020.12.10	11:28:00	1.61580	1.61592	1.61541	1.61566	118	0	23
2020.12.10	11:29:00	1.61565	1.61580	1.61554	1.61554	79	0	23
2020.12.10	11:30:00	1.61554	1.61575	1.61548	1.61562	64	0	23
2020.12.10	11:31:00	1.61562	1.61606	1.61561	1.61600	88	0	23
2020.12.10	11:32:00	1.61600	1.61604	1.61585	1.61597	73	0	23
2020.12.10	11:33:00	1.61597	1.61603	1.61568	1.61573	86	0	23
2020.12.10	11:34:00	1.61573	1.61577	1.61527	1.61529	78	0	23
2020.12.10	11:35:00	1.61529	1.61583	1.61528	1.61550	120	0	23
2020.12.10	11:36:00	1.61549	1.61575	1.61549	1.61554	108	0	23
2020.12.10	11:37:00	1.61554	1.61573	1.61549	1.61549	110	0	23
2020.12.10	11:38:00	1.61549	1.61570	1.61543	1.61569	89	0	23
2020.12.10	11:39:00	1.61569	1.61588	1.61556	1.61568	82	0	23
2020.12.10	11:40:00	1.61568	1.61585	1.61566	1.61567	78	0	23
2020.12.10	11:41:00	1.61567	1.61585	1.61557	1.61578	64	0	23
2020.12.10	11:42:00	1.61577	1.61611	1.61566	1.61605	80	0	23
2020.12.10	11:43:00	1.61602	1.61639	1.61602	1.61637	102	0	23
2020.12.10	11:44:00	1.61637	1.61641	1.61624	1.61624	64	0	23
2020.12.10	11:45:00	1.61622	1.61645	1.61622	1.61644	67	0	23
2020.12.10	11:46:00	1.61644	1.61644	1.61614	1.61619	47	0	23
2020.12.10	11:47:00	1.61619	1.61634	1.61617	1.61632	63	0	23
2020.12.10	11:48:00	1.61632	1.61633	1.61590	1.61605	97	0	23
2020.12.10	11:49:00	1.61605	1.61618	1.61601	1.61615	67	0	23
2020.12.10	11:50:00	1.61615	1.61637	1.61614	1.61630	61	0	23
2020.12.10	11:51:00	1.61630	1.61638	1.61616	1.61621	76	0	23
2020.12.10	11:52:00	1.61621	1.61633	1.61613	1.61622	77	0	23
2020.12.10	11:53:00	1.61622	1.61626	1.61599	1.61606	64	0	23
2020.12.10	11:54:00	1.61606	1.61624	1.61601	1.61621	70	0	23
2020.12.10	11:55:00	1.61621	1.61636	1.61614	1.61627	75	0	23
2020.12.10	11:56:00	1.61625	1.61635	1.61621	1.61630	51	0	23
2020.12.10	11:57:00	1.61630	1.61685	1.61625	1.61682	82	0	23
2020.12.10	11:58:00	1.61682	1.61684	1.61661	1.61676	85	0	23
2020.12.10	11:59:00	1.61677	1.61694	1.61664	1.61685	95	0	23
2020.12.10	12:00:00	1.61683	1.61691	1.61673	1.61677	96	0	23
2020.12.10	12:01:00	1.61680	1.61690	1.61660	1.61664	101	0	23
2020.12.10	12:02:00	1.61664	1.61670	1.61652	1.61670	115	0	23
2020.12.10	12:03:00	1.61671	1.61688	1.61668	1.61678	117	0	23
2020.12.10	12:04:00	1.61677	1.61704	1.61676	1.61701	118	0	23
2020.12.10	12:05:00	1.61697	1.61703	1.61632	1.61636	89	0	23
2020.12.10	12:06:00	1.61636	1.61658	1.61636	1.61658	63	0	23
2020.12.10	12:07:00	1.61655	1.61671	1.61652	1.61666	49	0	23
