<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	1.54760	1.54760	1.54730	1.54747	100	0	35
2020.12.10	11:01:00	1.54747	1.54749	1.54730	1.54733	88	0	34
2020.12.10	11:02:00	1.54735	1.54752	1.54735	1.54749	73	0	33
2020.12.10	11:03:00	1.54748	1.54755	1.54734	1.54736	77	0	33
2020.12.10	11:04:00	1.54737	1.54755	1.54733	1.54751	101	0	35
2020.12.10	11:05:00	1.54753	1.54758	1.54733	1.54734	117	0	32
2020.12.10	11:06:00	1.54734	1.54750	1.54727	1.54750	91	0	33
2020.12.10	11:07:00	1.54749	1.54764	1.54748	1.54762	76	0	32
2020.12.10	11:08:00	1.54760	1.54762	1.54735	1.54737	78	0	33
2020.12.10	11:09:00	1.54737	1.54739	1.54724	1.54724	83	0	35
2020.12.10	11:10:00	1.54725	1.54726	1.54708	1.54723	93	0	34
2020.12.10	11:11:00	1.54723	1.54732	1.54712	1.54725	55	0	34
2020.12.10	11:12:00	1.54725	1.54732	1.54715	1.54718	55	0	33
2020.12.10	11:13:00	1.54720	1.54746	1.54720	1.54742	72	0	32
2020.12.10	11:14:00	1.54742	1.54748	1.54728	1.54741	73	0	33
2020.12.10	11:15:00	1.54741	1.54766	1.54738	1.54738	109	0	33
2020.12.10	11:16:00	1.54739	1.54755	1.54735	1.54750	55	0	32
2020.12.10	11:17:00	1.54749	1.54767	1.54743	1.54765	53	0	33
2020.12.10	11:18:00	1.54766	1.54780	1.54763	1.54780	59	0	34
2020.12.10	11:19:00	1.54781	1.54798	1.54762	1.54768	85	0	32
2020.12.10	11:20:00	1.54767	1.54788	1.54757	1.54786	74	0	32
2020.12.10	11:21:00	1.54786	1.54804	1.54786	1.54802	80	0	33
2020.12.10	11:22:00	1.54802	1.54817	1.54794	1.54816	79	0	32
2020.12.10	11:23:00	1.54817	1.54817	1.54786	1.54807	87	0	32
2020.12.10	11:24:00	1.54807	1.54812	1.54797	1.54797	63	0	33
2020.12.10	11:25:00	1.54796	1.54809	1.54790	1.54807	83	0	32
2020.12.10	11:26:00	1.54806	1.54809	1.54795	1.54801	65	0	36
2020.12.10	11:27:00	1.54799	1.54809	1.54797	1.54798	53	0	35
2020.12.10	11:28:00	1.54798	1.54841	1.54797	1.54830	116	0	33
2020.12.10	11:29:00	1.54831	1.54831	1.54813	1.54817	71	0	33
2020.12.10	11:30:00	1.54817	1.54821	1.54799	1.54816	66	0	32
2020.12.10	11:31:00	1.54816	1.54863	1.54816	1.54861	104	0	34
2020.12.10	11:32:00	1.54861	1.54861	1.54843	1.54861	62	0	35
2020.12.10	11:33:00	1.54861	1.54863	1.54829	1.54837	74	0	33
2020.12.10	11:34:00	1.54838	1.54845	1.54825	1.54829	94	0	32
2020.12.10	11:35:00	1.54829	1.54894	1.54829	1.54867	108	0	32
2020.12.10	11:36:00	1.54868	1.54875	1.54849	1.54875	97	0	33
2020.12.10	11:37:00	1.54875	1.54887	1.54875	1.54878	63	0	32
2020.12.10	11:38:00	1.54878	1.54881	1.54861	1.54878	80	0	32
2020.12.10	11:39:00	1.54879	1.54886	1.54868	1.54870	57	0	32
2020.12.10	11:40:00	1.54871	1.54875	1.54850	1.54853	74	0	33
2020.12.10	11:41:00	1.54852	1.54865	1.54844	1.54863	63	0	32
2020.12.10	11:42:00	1.54863	1.54864	1.54847	1.54862	72	0	32
2020.12.10	11:43:00	1.54862	1.54872	1.54861	1.54870	79	0	32
