<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	1.07559	1.07559	1.07541	1.07551	41	0	17
2020.12.10	11:01:00	1.07551	1.07555	1.07546	1.07548	43	0	18
2020.12.10	11:02:00	1.07548	1.07551	1.07542	1.07546	55	0	17
2020.12.10	11:03:00	1.07546	1.07552	1.07545	1.07552	33	0	15
2020.12.10	11:04:00	1.07552	1.07569	1.07552	1.07569	27	0	15
2020.12.10	11:05:00	1.07568	1.07569	1.07564	1.07565	29	0	15
2020.12.10	11:06:00	1.07565	1.07571	1.07558	1.07559	39	0	15
2020.12.10	11:07:00	1.07561	1.07566	1.07555	1.07555	43	0	17
2020.12.10	11:08:00	1.07556	1.07561	1.07555	1.07557	44	0	16
2020.12.10	11:09:00	1.07556	1.07557	1.07549	1.07551	23	0	17
2020.12.10	11:10:00	1.07551	1.07559	1.07551	1.07555	35	0	17
2020.12.10	11:11:00	1.07555	1.07564	1.07554	1.07564	33	0	15
2020.12.10	11:12:00	1.07563	1.07566	1.07544	1.07544	54	0	15
2020.12.10	11:13:00	1.07544	1.07554	1.07544	1.07552	40	0	16
2020.12.10	11:14:00	1.07552	1.07558	1.07547	1.07558	21	0	16
2020.12.10	11:15:00	1.07558	1.07566	1.07558	1.07564	24	0	15
2020.12.10	11:16:00	1.07563	1.07583	1.07563	1.07579	21	0	15
2020.12.10	11:17:00	1.07579	1.07582	1.07573	1.07580	20	0	15
2020.12.10	11:18:00	1.07580	1.07592	1.07580	1.07589	16	0	15
2020.12.10	11:19:00	1.07590	1.07598	1.07589	1.07597	43	0	15
2020.12.10	11:20:00	1.07597	1.07600	1.07595	1.07598	15	0	16
2020.12.10	11:21:00	1.07598	1.07600	1.07593	1.07593	44	0	16
2020.12.10	11:22:00	1.07593	1.07597	1.07591	1.07596	39	0	16
2020.12.10	11:23:00	1.07595	1.07596	1.07592	1.07595	26	0	18
2020.12.10	11:24:00	1.07593	1.07599	1.07593	1.07597	27	0	15
2020.12.10	11:25:00	1.07595	1.07627	1.07595	1.07627	64	0	15
2020.12.10	11:26:00	1.07627	1.07634	1.07618	1.07627	36	0	16
2020.12.10	11:27:00	1.07627	1.07634	1.07627	1.07630	26	0	17
2020.12.10	11:28:00	1.07630	1.07668	1.07630	1.07661	59	0	15
2020.12.10	11:29:00	1.07661	1.07674	1.07656	1.07658	49	0	15
2020.12.10	11:30:00	1.07658	1.07658	1.07647	1.07654	60	0	15
2020.12.10	11:31:00	1.07654	1.07681	1.07654	1.07677	45	0	15
2020.12.10	11:32:00	1.07676	1.07685	1.07674	1.07681	24	0	15
2020.12.10	11:33:00	1.07683	1.07683	1.07660	1.07660	33	0	16
2020.12.10	11:34:00	1.07660	1.07661	1.07655	1.07660	31	0	17
