<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:01:00	26.2861	26.2920	26.2861	26.2917	18	0	331
2020.12.10	11:02:00	26.2919	26.2922	26.2915	26.2918	11	0	349
2020.12.10	11:03:00	26.2916	26.2916	26.2913	26.2916	5	0	356
2020.12.10	11:04:00	26.2916	26.2919	26.2916	26.2919	4	0	347
2020.12.10	11:05:00	26.2918	26.2921	26.2881	26.2893	11	0	295
2020.12.10	11:06:00	26.2889	26.2889	26.2864	26.2864	8	0	307
2020.12.10	11:07:00	26.2854	26.2866	26.2847	26.2858	11	0	322
2020.12.10	11:08:00	26.2857	26.2858	26.2846	26.2846	9	0	349
2020.12.10	11:09:00	26.2844	26.2844	26.2841	26.2841	4	0	363
2020.12.10	11:10:00	26.2841	26.2841	26.2755	26.2755	4	0	292
2020.12.10	11:11:00	26.2752	26.2752	26.2750	26.2750	4	0	363
2020.12.10	11:14:00	26.2751	26.2751	26.2751	26.2751	1	0	362
2020.12.10	11:15:00	26.2751	26.2755	26.2751	26.2755	4	0	357
2020.12.10	11:16:00	26.2756	26.2757	26.2756	26.2757	2	0	353
2020.12.10	11:17:00	26.2758	26.2759	26.2758	26.2759	2	0	349
2020.12.10	11:19:00	26.2754	26.2757	26.2754	26.2754	5	0	348
2020.12.10	11:20:00	26.2753	26.2753	26.2749	26.2749	3	0	356
2020.12.10	11:21:00	26.2749	26.2749	26.2746	26.2746	4	0	362
2020.12.10	11:22:00	26.2745	26.2745	26.2745	26.2745	1	0	369
2020.12.10	11:23:00	26.2743	26.2745	26.2743	26.2745	2	0	369
2020.12.10	11:26:00	26.2744	26.2759	26.2744	26.2759	3	0	360
2020.12.10	11:27:00	26.2759	26.2759	26.2750	26.2750	3	0	358
2020.12.10	11:28:00	26.2749	26.2750	26.2737	26.2742	9	0	345
2020.12.10	11:29:00	26.2743	26.2747	26.2743	26.2747	5	0	338
2020.12.10	11:30:00	26.2748	26.2798	26.2748	26.2798	4	0	311
2020.12.10	11:31:00	26.2799	26.2806	26.2799	26.2806	5	0	315
2020.12.10	11:32:00	26.2807	26.2808	26.2806	26.2808	5	0	309
2020.12.10	11:33:00	26.2809	26.2809	26.2808	26.2808	2	0	306
2020.12.10	11:34:00	26.2806	26.2806	26.2806	26.2806	1	0	308
2020.12.10	11:35:00	26.2805	26.2805	26.2805	26.2805	1	0	310
2020.12.10	11:36:00	26.2804	26.2804	26.2804	26.2804	1	0	310
2020.12.10	11:37:00	26.2804	26.2804	26.2804	26.2804	1	0	309
2020.12.10	11:38:00	26.2804	26.2804	26.2804	26.2804	1	0	309
2020.12.10	11:40:00	26.2804	26.2804	26.2804	26.2804	1	0	309
2020.12.10	11:41:00	26.2819	26.2849	26.2819	26.2835	14	0	309
2020.12.10	11:42:00	26.2834	26.2834	26.2829	26.2829	6	0	337
2020.12.10	11:43:00	26.2829	26.2829	26.2826	26.2826	4	0	347
2020.12.10	11:44:00	26.2829	26.2829	26.2799	26.2808	5	0	320
2020.12.10	11:45:00	26.2807	26.2807	26.2807	26.2807	1	0	315
2020.12.10	11:46:00	26.2807	26.2807	26.2807	26.2807	1	0	313
2020.12.10	11:47:00	26.2807	26.2807	26.2798	26.2799	4	0	310
2020.12.10	11:48:00	26.2800	26.2802	26.2800	26.2802	3	0	305
