<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	0.90836	0.90859	0.90830	0.90855	93	0	8
2020.12.10	11:01:00	0.90855	0.90862	0.90841	0.90841	64	0	8
2020.12.10	11:02:00	0.90841	0.90848	0.90830	0.90847	75	0	8
2020.12.10	11:03:00	0.90846	0.90856	0.90833	0.90841	58	0	8
2020.12.10	11:04:00	0.90841	0.90861	0.90841	0.90859	80	0	8
2020.12.10	11:05:00	0.90859	0.90897	0.90859	0.90873	101	0	8
2020.12.10	11:06:00	0.90874	0.90877	0.90838	0.90854	97	0	8
2020.12.10	11:07:00	0.90855	0.90862	0.90840	0.90847	78	0	8
2020.12.10	11:08:00	0.90845	0.90857	0.90835	0.90835	75	0	8
2020.12.10	11:09:00	0.90834	0.90850	0.90827	0.90844	61	0	8
2020.12.10	11:10:00	0.90844	0.90849	0.90838	0.90843	57	0	8
2020.12.10	11:11:00	0.90843	0.90848	0.90842	0.90848	24	0	8
2020.12.10	11:12:00	0.90848	0.90864	0.90843	0.90846	63	0	8
2020.12.10	11:13:00	0.90846	0.90866	0.90846	0.90865	58	0	8
2020.12.10	11:14:00	0.90864	0.90880	0.90862	0.90873	69	0	8
2020.12.10	11:15:00	0.90873	0.90883	0.90858	0.90858	94	0	8
2020.12.10	11:16:00	0.90858	0.90872	0.90844	0.90863	120	0	8
2020.12.10	11:17:00	0.90862	0.90863	0.90846	0.90862	77	0	8
2020.12.10	11:18:00	0.90863	0.90876	0.90853	0.90859	40	0	8
2020.12.10	11:19:00	0.90859	0.90883	0.90849	0.90880	116	0	8
2020.12.10	11:20:00	0.90884	0.90902	0.90884	0.90894	73	0	8
2020.12.10	11:21:00	0.90895	0.90916	0.90895	0.90915	56	0	8
2020.12.10	11:22:00	0.90914	0.90940	0.90912	0.90919	91	0	8
2020.12.10	11:23:00	0.90919	0.90935	0.90915	0.90933	74	0	8
2020.12.10	11:24:00	0.90933	0.90956	0.90933	0.90940	79	0	8
2020.12.10	11:25:00	0.90939	0.90953	0.90928	0.90952	78	0	8
2020.12.10	11:26:00	0.90953	0.90988	0.90953	0.90970	53	0	8
2020.12.10	11:27:00	0.90969	0.90995	0.90969	0.90989	46	0	8
2020.12.10	11:28:00	0.90988	0.91004	0.90982	0.90989	138	0	8
2020.12.10	11:29:00	0.90989	0.91007	0.90988	0.91000	61	0	8
2020.12.10	11:30:00	0.91000	0.91008	0.90994	0.91005	38	0	8
2020.12.10	11:31:00	0.91005	0.91036	0.91004	0.91032	94	0	8
2020.12.10	11:32:00	0.91032	0.91034	0.91011	0.91028	59	0	8
2020.12.10	11:33:00	0.91032	0.91032	0.91014	0.91014	73	0	8
2020.12.10	11:34:00	0.91014	0.91016	0.90989	0.91005	92	0	8
2020.12.10	11:35:00	0.91005	0.91035	0.90995	0.90995	140	0	8
2020.12.10	11:36:00	0.90995	0.91012	0.90968	0.90970	136	0	8
2020.12.10	11:37:00	0.90970	0.90974	0.90946	0.90946	95	0	8
2020.12.10	11:38:00	0.90946	0.90951	0.90916	0.90936	84	0	8
2020.12.10	11:39:00	0.90936	0.90956	0.90933	0.90937	62	0	8
2020.12.10	11:40:00	0.90937	0.90952	0.90926	0.90929	89	0	8
2020.12.10	11:41:00	0.90928	0.90930	0.90909	0.90928	63	0	8
2020.12.10	11:42:00	0.90928	0.90931	0.90903	0.90910	82	0	8
2020.12.10	11:43:00	0.90908	0.90914	0.90888	0.90898	111	0	8
2020.12.10	11:44:00	0.90898	0.90918	0.90882	0.90917	61	0	8
2020.12.10	11:45:00	0.90917	0.90944	0.90915	0.90943	54	0	8
2020.12.10	11:46:00	0.90942	0.90960	0.90935	0.90937	57	0	8
2020.12.10	11:47:00	0.90937	0.90961	0.90930	0.90961	70	0	8
2020.12.10	11:48:00	0.90958	0.90973	0.90927	0.90928	133	0	8
2020.12.10	11:49:00	0.90928	0.90930	0.90909	0.90917	61	0	9
2020.12.10	11:50:00	0.90916	0.90924	0.90903	0.90913	64	0	9
2020.12.10	11:51:00	0.90915	0.90918	0.90854	0.90857	97	0	8
2020.12.10	11:52:00	0.90857	0.90893	0.90857	0.90890	75	0	8
2020.12.10	11:53:00	0.90888	0.90900	0.90874	0.90875	67	0	8
2020.12.10	11:54:00	0.90875	0.90893	0.90873	0.90890	90	0	8
2020.12.10	11:55:00	0.90890	0.90904	0.90890	0.90892	55	0	8
2020.12.10	11:56:00	0.90892	0.90899	0.90890	0.90895	60	0	8
2020.12.10	11:57:00	0.90894	0.90908	0.90892	0.90897	49	0	8
2020.12.10	11:58:00	0.90897	0.90898	0.90885	0.90890	66	0	8
2020.12.10	11:59:00	0.90892	0.90899	0.90878	0.90899	84	0	8
2020.12.10	12:00:00	0.90901	0.90906	0.90867	0.90869	59	0	8
2020.12.10	12:01:00	0.90869	0.90870	0.90852	0.90858	51	0	8
2020.12.10	12:02:00	0.90857	0.90867	0.90855	0.90863	59	0	8
2020.12.10	12:03:00	0.90865	0.90865	0.90850	0.90850	62	0	8
2020.12.10	12:04:00	0.90850	0.90854	0.90834	0.90853	51	0	8
2020.12.10	12:05:00	0.90853	0.90854	0.90811	0.90811	59	0	8
2020.12.10	12:06:00	0.90811	0.90813	0.90796	0.90802	63	0	8
2020.12.10	12:07:00	0.90802	0.90815	0.90802	0.90814	47	0	8
2020.12.10	12:08:00	0.90814	0.90819	0.90812	0.90813	63	0	8
2020.12.10	12:09:00	0.90814	0.90843	0.90805	0.90838	62	0	8
2020.12.10	12:10:00	0.90838	0.90849	0.90838	0.90844	51	0	8
2020.12.10	12:11:00	0.90844	0.90867	0.90844	0.90867	55	0	8
2020.12.10	12:12:00	0.90866	0.90883	0.90865	0.90877	76	0	8
2020.12.10	12:13:00	0.90877	0.90889	0.90873	0.90882	56	0	8
2020.12.10	12:14:00	0.90882	0.90884	0.90857	0.90857	67	0	8
2020.12.10	12:15:00	0.90857	0.90909	0.90857	0.90896	67	0	8
2020.12.10	12:16:00	0.90896	0.90900	0.90894	0.90898	47	0	8
2020.12.10	12:17:00	0.90898	0.90904	0.90884	0.90884	47	0	8
2020.12.10	12:18:00	0.90885	0.90899	0.90876	0.90898	71	0	8
2020.12.10	12:19:00	0.90898	0.90908	0.90894	0.90907	35	0	8
2020.12.10	12:20:00	0.90906	0.90911	0.90902	0.90904	64	0	8
2020.12.10	12:21:00	0.90904	0.90905	0.90889	0.90903	68	0	8
2020.12.10	12:22:00	0.90903	0.90909	0.90890	0.90900	52	0	8
2020.12.10	12:23:00	0.90900	0.90907	0.90891	0.90906	44	0	8
2020.12.10	12:24:00	0.90906	0.90906	0.90888	0.90897	31	0	8
2020.12.10	12:25:00	0.90897	0.90897	0.90871	0.90873	63	0	8
2020.12.10	12:26:00	0.90871	0.90872	0.90857	0.90859	40	0	8
