<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	126.377	126.377	126.343	126.348	110	0	13
2020.12.10	11:01:00	126.347	126.369	126.327	126.330	111	0	13
2020.12.10	11:02:00	126.329	126.337	126.312	126.319	106	0	13
2020.12.10	11:03:00	126.320	126.330	126.313	126.315	64	0	13
2020.12.10	11:04:00	126.316	126.338	126.313	126.335	104	0	13
2020.12.10	11:05:00	126.335	126.346	126.310	126.312	124	0	13
2020.12.10	11:06:00	126.311	126.335	126.308	126.329	70	0	13
2020.12.10	11:07:00	126.329	126.342	126.329	126.341	52	0	13
2020.12.10	11:08:00	126.340	126.344	126.337	126.342	40	0	13
2020.12.10	11:09:00	126.342	126.342	126.313	126.313	54	0	13
2020.12.10	11:10:00	126.313	126.326	126.312	126.325	64	0	13
2020.12.10	11:11:00	126.325	126.360	126.325	126.359	50	0	13
2020.12.10	11:12:00	126.359	126.362	126.347	126.354	52	0	13
2020.12.10	11:13:00	126.354	126.365	126.348	126.362	45	0	13
2020.12.10	11:14:00	126.362	126.362	126.353	126.360	34	0	13
2020.12.10	11:15:00	126.360	126.362	126.344	126.344	81	0	13
2020.12.10	11:16:00	126.344	126.370	126.344	126.366	69	0	13
2020.12.10	11:17:00	126.366	126.377	126.362	126.373	48	0	13
2020.12.10	11:18:00	126.373	126.388	126.371	126.387	73	0	13
2020.12.10	11:19:00	126.387	126.419	126.378	126.412	100	0	13
2020.12.10	11:20:00	126.411	126.415	126.403	126.413	54	0	13
2020.12.10	11:21:00	126.413	126.426	126.413	126.422	49	0	13
2020.12.10	11:22:00	126.422	126.437	126.414	126.436	61	0	13
2020.12.10	11:23:00	126.436	126.439	126.414	126.433	69	0	13
2020.12.10	11:24:00	126.434	126.446	126.423	126.423	55	0	13
2020.12.10	11:25:00	126.423	126.446	126.419	126.446	62	0	13
2020.12.10	11:26:00	126.446	126.446	126.430	126.435	53	0	13
2020.12.10	11:27:00	126.435	126.449	126.433	126.436	47	0	14
2020.12.10	11:28:00	126.436	126.484	126.436	126.473	104	0	13
2020.12.10	11:29:00	126.473	126.473	126.455	126.459	70	0	13
2020.12.10	11:30:00	126.459	126.471	126.455	126.464	70	0	13
2020.12.10	11:31:00	126.465	126.505	126.464	126.504	87	0	13
2020.12.10	11:32:00	126.504	126.508	126.489	126.499	70	0	13
2020.12.10	11:33:00	126.498	126.500	126.479	126.487	74	0	14
2020.12.10	11:34:00	126.487	126.496	126.483	126.489	59	0	13
2020.12.10	11:35:00	126.489	126.553	126.489	126.537	99	0	13
2020.12.10	11:36:00	126.538	126.541	126.525	126.538	98	0	13
2020.12.10	11:37:00	126.538	126.545	126.521	126.522	80	0	13
2020.12.10	11:38:00	126.522	126.522	126.491	126.497	84	0	13
2020.12.10	11:39:00	126.495	126.500	126.480	126.481	67	0	13
2020.12.10	11:40:00	126.482	126.495	126.477	126.486	108	0	13
2020.12.10	11:41:00	126.487	126.494	126.481	126.491	64	0	13
2020.12.10	11:42:00	126.490	126.500	126.483	126.484	84	0	13
2020.12.10	11:43:00	126.484	126.484	126.456	126.472	106	0	13
