<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	1.71759	1.71792	1.71752	1.71791	94	0	41
2020.12.10	11:01:00	1.71790	1.71790	1.71760	1.71774	65	0	37
2020.12.10	11:02:00	1.71772	1.71784	1.71752	1.71762	58	0	40
2020.12.10	11:03:00	1.71762	1.71790	1.71752	1.71782	45	0	37
2020.12.10	11:04:00	1.71782	1.71799	1.71773	1.71780	64	0	37
2020.12.10	11:05:00	1.71778	1.71778	1.71703	1.71703	92	0	36
2020.12.10	11:06:00	1.71709	1.71709	1.71678	1.71695	79	0	36
2020.12.10	11:07:00	1.71695	1.71710	1.71671	1.71682	50	0	36
2020.12.10	11:08:00	1.71682	1.71702	1.71662	1.71675	71	0	36
2020.12.10	11:09:00	1.71676	1.71684	1.71642	1.71642	58	0	39
2020.12.10	11:10:00	1.71642	1.71667	1.71634	1.71650	71	0	36
2020.12.10	11:11:00	1.71650	1.71685	1.71650	1.71672	55	0	39
2020.12.10	11:12:00	1.71674	1.71692	1.71663	1.71663	70	0	36
2020.12.10	11:13:00	1.71664	1.71690	1.71664	1.71685	56	0	39
2020.12.10	11:14:00	1.71686	1.71705	1.71667	1.71686	104	0	40
2020.12.10	11:15:00	1.71686	1.71696	1.71655	1.71656	131	0	37
2020.12.10	11:16:00	1.71655	1.71684	1.71653	1.71672	85	0	36
2020.12.10	11:17:00	1.71672	1.71672	1.71638	1.71657	59	0	36
2020.12.10	11:18:00	1.71655	1.71668	1.71641	1.71652	47	0	36
2020.12.10	11:19:00	1.71652	1.71672	1.71650	1.71665	53	0	36
2020.12.10	11:20:00	1.71666	1.71685	1.71664	1.71682	43	0	37
2020.12.10	11:21:00	1.71682	1.71728	1.71681	1.71725	74	0	39
2020.12.10	11:22:00	1.71724	1.71769	1.71722	1.71764	80	0	39
2020.12.10	11:23:00	1.71764	1.71768	1.71744	1.71755	62	0	36
2020.12.10	11:24:00	1.71755	1.71770	1.71748	1.71749	45	0	41
2020.12.10	11:25:00	1.71748	1.71757	1.71722	1.71722	67	0	37
2020.12.10	11:26:00	1.71726	1.71737	1.71724	1.71733	52	0	36
2020.12.10	11:27:00	1.71733	1.71747	1.71732	1.71734	36	0	39
2020.12.10	11:28:00	1.71734	1.71752	1.71667	1.71668	98	0	37
2020.12.10	11:29:00	1.71669	1.71698	1.71643	1.71656	77	0	38
2020.12.10	11:30:00	1.71657	1.71673	1.71649	1.71658	76	0	38
2020.12.10	11:31:00	1.71658	1.71694	1.71658	1.71682	79	0	40
2020.12.10	11:32:00	1.71682	1.71685	1.71667	1.71673	74	0	38
2020.12.10	11:33:00	1.71674	1.71683	1.71644	1.71646	89	0	40
2020.12.10	11:34:00	1.71652	1.71655	1.71610	1.71624	102	0	39
2020.12.10	11:35:00	1.71624	1.71684	1.71619	1.71642	151	0	36
2020.12.10	11:36:00	1.71642	1.71698	1.71642	1.71680	133	0	38
2020.12.10	11:37:00	1.71680	1.71720	1.71680	1.71718	63	0	38
2020.12.10	11:38:00	1.71718	1.71750	1.71715	1.71743	78	0	38
2020.12.10	11:39:00	1.71740	1.71760	1.71726	1.71744	71	0	36
2020.12.10	11:40:00	1.71746	1.71762	1.71732	1.71736	92	0	38
2020.12.10	11:41:00	1.71737	1.71744	1.71727	1.71743	59	0	40
2020.12.10	11:42:00	1.71743	1.71762	1.71732	1.71752	62	0	36
2020.12.10	11:43:00	1.71752	1.71773	1.71746	1.71772	70	0	36
2020.12.10	11:44:00	1.71772	1.71778	1.71737	1.71753	74	0	37
2020.12.10	11:45:00	1.71753	1.71782	1.71753	1.71762	80	0	38
2020.12.10	11:46:00	1.71762	1.71774	1.71707	1.71715	59	0	38
2020.12.10	11:47:00	1.71716	1.71743	1.71715	1.71740	90	0	36
2020.12.10	11:48:00	1.71741	1.71742	1.71689	1.71690	92	0	41
2020.12.10	11:49:00	1.71689	1.71703	1.71685	1.71702	62	0	38
2020.12.10	11:50:00	1.71702	1.71722	1.71700	1.71714	49	0	42
2020.12.10	11:51:00	1.71714	1.71730	1.71701	1.71712	83	0	39
2020.12.10	11:52:00	1.71712	1.71722	1.71702	1.71710	87	0	41
2020.12.10	11:53:00	1.71712	1.71732	1.71704	1.71732	73	0	36
2020.12.10	11:54:00	1.71729	1.71773	1.71720	1.71768	72	0	36
2020.12.10	11:55:00	1.71768	1.71807	1.71766	1.71796	87	0	39
2020.12.10	11:56:00	1.71797	1.71828	1.71796	1.71824	57	0	38
2020.12.10	11:57:00	1.71824	1.71872	1.71822	1.71846	73	0	36
2020.12.10	11:58:00	1.71846	1.71852	1.71838	1.71846	53	0	38
2020.12.10	11:59:00	1.71846	1.71860	1.71832	1.71837	80	0	39
2020.12.10	12:00:00	1.71838	1.71838	1.71802	1.71807	103	0	40
2020.12.10	12:01:00	1.71808	1.71830	1.71801	1.71801	64	0	43
2020.12.10	12:02:00	1.71800	1.71806	1.71790	1.71796	46	0	43
2020.12.10	12:03:00	1.71797	1.71808	1.71777	1.71783	60	0	36
2020.12.10	12:04:00	1.71785	1.71820	1.71781	1.71813	76	0	40
2020.12.10	12:05:00	1.71813	1.71816	1.71759	1.71759	63	0	42
2020.12.10	12:06:00	1.71759	1.71780	1.71747	1.71762	67	0	38
2020.12.10	12:07:00	1.71762	1.71766	1.71738	1.71752	41	0	36
2020.12.10	12:08:00	1.71752	1.71752	1.71723	1.71750	42	0	36
2020.12.10	12:09:00	1.71749	1.71778	1.71743	1.71758	49	0	36
2020.12.10	12:10:00	1.71761	1.71779	1.71746	1.71747	68	0	40
2020.12.10	12:11:00	1.71746	1.71763	1.71724	1.71732	104	0	36
2020.12.10	12:12:00	1.71732	1.71757	1.71727	1.71749	79	0	40
2020.12.10	12:13:00	1.71752	1.71772	1.71741	1.71756	89	0	42
2020.12.10	12:14:00	1.71755	1.71766	1.71743	1.71752	85	0	40
2020.12.10	12:15:00	1.71752	1.71792	1.71745	1.71782	61	0	38
2020.12.10	12:16:00	1.71782	1.71809	1.71774	1.71794	71	0	41
2020.12.10	12:17:00	1.71793	1.71797	1.71783	1.71785	62	0	43
2020.12.10	12:18:00	1.71785	1.71796	1.71768	1.71795	77	0	38
2020.12.10	12:19:00	1.71795	1.71816	1.71787	1.71812	83	0	37
2020.12.10	12:20:00	1.71813	1.71815	1.71775	1.71779	77	0	41
2020.12.10	12:21:00	1.71778	1.71792	1.71771	1.71792	77	0	38
2020.12.10	12:22:00	1.71792	1.71801	1.71781	1.71785	40	0	40
2020.12.10	12:23:00	1.71785	1.71796	1.71785	1.71789	36	0	36
2020.12.10	12:24:00	1.71789	1.71802	1.71775	1.71801	55	0	39
2020.12.10	12:25:00	1.71800	1.71800	1.71772	1.71772	34	0	36
2020.12.10	12:26:00	1.71771	1.71776	1.71760	1.71764	35	0	41
2020.12.10	12:27:00	1.71765	1.71775	1.71753	1.71753	36	0	40
2020.12.10	12:28:00	1.71753	1.71756	1.71750	1.71753	18	0	41
2020.12.10	12:29:00	1.71755	1.71764	1.71739	1.71747	52	0	39
2020.12.10	12:30:00	1.71747	1.71757	1.71735	1.71742	57	0	36
2020.12.10	12:31:00	1.71742	1.71742	1.71728	1.71733	23	0	43
2020.12.10	12:32:00	1.71733	1.71754	1.71733	1.71750	42	0	36
2020.12.10	12:33:00	1.71750	1.71750	1.71732	1.71744	55	0	37
2020.12.10	12:34:00	1.71743	1.71762	1.71729	1.71760	54	0	38
2020.12.10	12:35:00	1.71760	1.71780	1.71753	1.71763	66	0	38
2020.12.10	12:36:00	1.71764	1.71770	1.71741	1.71742	50	0	41
2020.12.10	12:37:00	1.71742	1.71770	1.71731	1.71770	53	0	42
2020.12.10	12:38:00	1.71770	1.71792	1.71763	1.71790	56	0	36
2020.12.10	12:39:00	1.71791	1.71800	1.71780	1.71782	57	0	45
2020.12.10	12:40:00	1.71781	1.71792	1.71763	1.71782	66	0	39
2020.12.10	12:41:00	1.71775	1.71790	1.71769	1.71775	53	0	42
2020.12.10	12:42:00	1.71775	1.71782	1.71746	1.71779	61	0	41
2020.12.10	12:43:00	1.71780	1.71806	1.71778	1.71800	47	0	39
2020.12.10	12:44:00	1.71800	1.71800	1.71768	1.71770	56	0	40
