<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	4.42391	4.42396	4.42388	4.42388	7	0	207
2020.12.10	11:01:00	4.42382	4.42395	4.42379	4.42379	7	0	199
2020.12.10	11:02:00	4.42379	4.42379	4.42363	4.42363	24	0	205
2020.12.10	11:03:00	4.42368	4.42382	4.42363	4.42369	24	0	202
2020.12.10	11:04:00	4.42369	4.42386	4.42369	4.42375	20	0	198
2020.12.10	11:05:00	4.42381	4.42389	4.42370	4.42370	19	0	195
2020.12.10	11:06:00	4.42369	4.42384	4.42368	4.42368	5	0	170
2020.12.10	11:07:00	4.42368	4.42368	4.42323	4.42323	5	0	183
2020.12.10	11:08:00	4.42333	4.42376	4.42321	4.42376	16	0	192
2020.12.10	11:09:00	4.42375	4.42410	4.42374	4.42410	12	0	196
2020.12.10	11:10:00	4.42410	4.42448	4.42400	4.42400	11	0	165
2020.12.10	11:11:00	4.42396	4.42403	4.42396	4.42396	19	0	210
2020.12.10	11:12:00	4.42396	4.42445	4.42396	4.42445	8	0	188
2020.12.10	11:13:00	4.42417	4.42418	4.42408	4.42410	15	0	195
2020.12.10	11:14:00	4.42410	4.42410	4.42405	4.42405	2	0	203
2020.12.10	11:15:00	4.42405	4.42430	4.42395	4.42395	7	0	190
2020.12.10	11:16:00	4.42395	4.42422	4.42395	4.42396	15	0	203
2020.12.10	11:17:00	4.42396	4.42438	4.42396	4.42438	9	0	182
2020.12.10	11:18:00	4.42440	4.42445	4.42372	4.42372	34	0	163
2020.12.10	11:19:00	4.42370	4.42370	4.42325	4.42325	14	0	203
2020.12.10	11:20:00	4.42325	4.42374	4.42323	4.42374	15	0	200
2020.12.10	11:21:00	4.42374	4.42387	4.42368	4.42387	15	0	203
2020.12.10	11:22:00	4.42387	4.42398	4.42352	4.42366	13	0	189
2020.12.10	11:23:00	4.42366	4.42398	4.42355	4.42355	21	0	204
2020.12.10	11:24:00	4.42355	4.42356	4.42355	4.42355	3	0	227
2020.12.10	11:25:00	4.42355	4.42421	4.42355	4.42398	49	0	182
2020.12.10	11:26:00	4.42394	4.42400	4.42394	4.42400	23	0	198
2020.12.10	11:27:00	4.42396	4.42400	4.42396	4.42396	29	0	198
2020.12.10	11:28:00	4.42400	4.42400	4.42305	4.42330	23	0	193
2020.12.10	11:29:00	4.42333	4.42352	4.42323	4.42323	17	0	199
2020.12.10	11:30:00	4.42323	4.42323	4.42234	4.42287	49	0	187
2020.12.10	11:31:00	4.42288	4.42289	4.42278	4.42279	42	0	215
2020.12.10	11:32:00	4.42279	4.42297	4.42279	4.42287	30	0	211
2020.12.10	11:33:00	4.42282	4.42396	4.42260	4.42376	50	0	198
2020.12.10	11:34:00	4.42376	4.42588	4.42376	4.42405	81	0	174
2020.12.10	11:35:00	4.42405	4.42419	4.42394	4.42402	49	0	194
2020.12.10	11:36:00	4.42402	4.42410	4.42391	4.42400	52	0	209
2020.12.10	11:37:00	4.42397	4.42438	4.42393	4.42397	60	0	175
2020.12.10	11:38:00	4.42398	4.42412	4.42396	4.42402	33	0	201
2020.12.10	11:39:00	4.42400	4.42480	4.42354	4.42374	40	0	136
2020.12.10	11:40:00	4.42389	4.42391	4.42372	4.42388	53	0	192
2020.12.10	11:41:00	4.42382	4.42393	4.42358	4.42389	45	0	190
2020.12.10	11:42:00	4.42371	4.42409	4.42370	4.42396	59	0	202
2020.12.10	11:43:00	4.42397	4.42617	4.42394	4.42574	54	0	170
2020.12.10	11:44:00	4.42567	4.42787	4.42567	4.42579	58	0	163
2020.12.10	11:45:00	4.42579	4.42581	4.42495	4.42502	9	0	220
2020.12.10	11:46:00	4.42502	4.42508	4.42494	4.42494	11	0	220
2020.12.10	11:47:00	4.42506	4.42520	4.42494	4.42506	47	0	213
2020.12.10	11:48:00	4.42503	4.42520	4.42409	4.42409	46	0	222
2020.12.10	11:49:00	4.42409	4.42419	4.42409	4.42412	16	0	230
2020.12.10	11:50:00	4.42413	4.42433	4.42413	4.42414	4	0	212
2020.12.10	11:51:00	4.42429	4.42469	4.42426	4.42448	17	0	193
2020.12.10	11:52:00	4.42457	4.42471	4.42457	4.42468	7	0	184
2020.12.10	11:53:00	4.42468	4.42485	4.42468	4.42485	9	0	175
2020.12.10	11:54:00	4.42485	4.42485	4.42469	4.42475	9	0	184
2020.12.10	11:55:00	4.42475	4.42560	4.42475	4.42539	20	0	172
2020.12.10	11:56:00	4.42538	4.42576	4.42538	4.42567	12	0	192
2020.12.10	11:57:00	4.42567	4.42809	4.42566	4.42757	41	0	90
2020.12.10	11:58:00	4.42764	4.42866	4.42764	4.42768	40	0	183
2020.12.10	11:59:00	4.42768	4.42781	4.42768	4.42778	27	0	222
2020.12.10	12:00:00	4.42769	4.42783	4.42769	4.42775	20	0	209
2020.12.10	12:01:00	4.42776	4.42776	4.42776	4.42776	1	0	216
2020.12.10	12:02:00	4.42778	4.42782	4.42776	4.42782	7	0	211
2020.12.10	12:03:00	4.42782	4.42786	4.42779	4.42779	7	0	203
2020.12.10	12:04:00	4.42779	4.42894	4.42769	4.42872	20	0	179
2020.12.10	12:05:00	4.42872	4.42919	4.42855	4.42867	42	0	220
2020.12.10	12:06:00	4.42867	4.42905	4.42856	4.42863	18	0	210
2020.12.10	12:07:00	4.42863	4.42881	4.42861	4.42861	18	0	211
2020.12.10	12:08:00	4.42862	4.42919	4.42862	4.42917	14	0	214
2020.12.10	12:09:00	4.42919	4.43040	4.42879	4.43027	29	0	141
2020.12.10	12:10:00	4.43027	4.43045	4.43025	4.43025	12	0	210
2020.12.10	12:11:00	4.43025	4.43039	4.42977	4.42978	19	0	214
2020.12.10	12:12:00	4.42978	4.42993	4.42971	4.42973	19	0	215
2020.12.10	12:13:00	4.42973	4.43024	4.42961	4.42975	31	0	178
2020.12.10	12:14:00	4.42975	4.43014	4.42939	4.43001	73	0	224
2020.12.10	12:15:00	4.43001	4.43017	4.42937	4.42940	43	0	222
2020.12.10	12:16:00	4.42937	4.42959	4.42931	4.42931	47	0	245
2020.12.10	12:17:00	4.42933	4.43098	4.42921	4.43095	33	0	180
