<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	1.20904	1.20904	1.20873	1.20895	86	0	6
2020.12.10	11:01:00	1.20895	1.20903	1.20870	1.20870	76	0	6
2020.12.10	11:02:00	1.20870	1.20879	1.20859	1.20863	61	0	6
2020.12.10	11:03:00	1.20863	1.20873	1.20852	1.20853	61	0	6
2020.12.10	11:04:00	1.20853	1.20863	1.20846	1.20859	81	0	6
2020.12.10	11:05:00	1.20861	1.20875	1.20855	1.20858	95	0	6
2020.12.10	11:06:00	1.20858	1.20873	1.20856	1.20872	71	0	6
2020.12.10	11:07:00	1.20872	1.20882	1.20868	1.20873	80	0	6
2020.12.10	11:08:00	1.20873	1.20879	1.20870	1.20877	63	0	6
2020.12.10	11:09:00	1.20877	1.20877	1.20836	1.20836	63	0	6
2020.12.10	11:10:00	1.20836	1.20846	1.20831	1.20846	62	0	6
2020.12.10	11:11:00	1.20845	1.20862	1.20844	1.20861	46	0	6
2020.12.10	11:12:00	1.20861	1.20867	1.20849	1.20855	45	0	6
2020.12.10	11:13:00	1.20855	1.20870	1.20848	1.20867	58	0	6
2020.12.10	11:14:00	1.20867	1.20870	1.20856	1.20865	41	0	6
2020.12.10	11:15:00	1.20865	1.20877	1.20854	1.20861	89	0	6
2020.12.10	11:16:00	1.20861	1.20877	1.20858	1.20870	70	0	6
2020.12.10	11:17:00	1.20870	1.20890	1.20870	1.20889	54	0	6
2020.12.10	11:18:00	1.20889	1.20901	1.20887	1.20901	47	0	6
2020.12.10	11:19:00	1.20900	1.20931	1.20897	1.20924	71	0	6
2020.12.10	11:20:00	1.20924	1.20932	1.20910	1.20927	70	0	6
2020.12.10	11:21:00	1.20927	1.20945	1.20927	1.20937	64	0	6
2020.12.10	11:22:00	1.20937	1.20951	1.20928	1.20951	67	0	6
2020.12.10	11:23:00	1.20951	1.20954	1.20920	1.20941	71	0	6
2020.12.10	11:24:00	1.20941	1.20947	1.20931	1.20931	49	0	6
2020.12.10	11:25:00	1.20931	1.20960	1.20929	1.20960	68	0	6
