<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	1.77935	1.77947	1.77899	1.77903	71	0	42
2020.12.10	11:01:00	1.77903	1.77911	1.77876	1.77911	61	0	42
2020.12.10	11:02:00	1.77912	1.77933	1.77896	1.77898	67	0	42
2020.12.10	11:03:00	1.77895	1.77959	1.77878	1.77939	71	0	42
2020.12.10	11:04:00	1.77941	1.77952	1.77905	1.77916	76	0	42
2020.12.10	11:05:00	1.77906	1.77910	1.77782	1.77795	103	0	42
2020.12.10	11:06:00	1.77793	1.77846	1.77776	1.77837	100	0	42
2020.12.10	11:07:00	1.77837	1.77861	1.77820	1.77847	69	0	42
2020.12.10	11:08:00	1.77851	1.77856	1.77815	1.77848	78	0	42
2020.12.10	11:09:00	1.77849	1.77872	1.77800	1.77801	105	0	42
2020.12.10	11:10:00	1.77799	1.77812	1.77785	1.77789	51	0	42
2020.12.10	11:11:00	1.77789	1.77831	1.77789	1.77808	57	0	42
2020.12.10	11:12:00	1.77808	1.77828	1.77784	1.77817	58	0	42
2020.12.10	11:13:00	1.77817	1.77817	1.77784	1.77815	55	0	42
2020.12.10	11:14:00	1.77815	1.77832	1.77744	1.77783	69	0	42
2020.12.10	11:15:00	1.77776	1.77809	1.77770	1.77793	76	0	42
2020.12.10	11:16:00	1.77793	1.77820	1.77780	1.77798	76	0	42
2020.12.10	11:17:00	1.77798	1.77820	1.77787	1.77803	62	0	43
2020.12.10	11:18:00	1.77803	1.77804	1.77777	1.77792	53	0	42
2020.12.10	11:19:00	1.77795	1.77822	1.77768	1.77768	73	0	42
2020.12.10	11:20:00	1.77768	1.77768	1.77738	1.77763	54	0	42
2020.12.10	11:21:00	1.77763	1.77784	1.77750	1.77771	47	0	42
2020.12.10	11:22:00	1.77771	1.77794	1.77738	1.77775	53	0	42
2020.12.10	11:23:00	1.77775	1.77785	1.77738	1.77738	50	0	45
2020.12.10	11:24:00	1.77738	1.77742	1.77696	1.77707	27	0	42
2020.12.10	11:25:00	1.77707	1.77732	1.77647	1.77657	46	0	42
2020.12.10	11:26:00	1.77657	1.77657	1.77582	1.77627	51	0	42
2020.12.10	11:27:00	1.77631	1.77631	1.77563	1.77564	50	0	42
2020.12.10	11:28:00	1.77564	1.77567	1.77521	1.77544	94	0	42
2020.12.10	11:29:00	1.77544	1.77544	1.77509	1.77511	63	0	42
2020.12.10	11:30:00	1.77511	1.77528	1.77501	1.77517	55	0	42
2020.12.10	11:31:00	1.77517	1.77525	1.77480	1.77505	72	0	42
2020.12.10	11:32:00	1.77505	1.77532	1.77498	1.77498	48	0	42
2020.12.10	11:33:00	1.77498	1.77509	1.77491	1.77508	44	0	44
2020.12.10	11:34:00	1.77507	1.77539	1.77468	1.77468	73	0	42
2020.12.10	11:35:00	1.77468	1.77521	1.77461	1.77513	121	0	43
2020.12.10	11:36:00	1.77513	1.77578	1.77496	1.77566	96	0	43
2020.12.10	11:37:00	1.77566	1.77610	1.77566	1.77606	69	0	43
2020.12.10	11:38:00	1.77606	1.77677	1.77595	1.77651	88	0	42
2020.12.10	11:39:00	1.77652	1.77656	1.77622	1.77646	79	0	44
2020.12.10	11:40:00	1.77647	1.77670	1.77626	1.77660	61	0	46
2020.12.10	11:41:00	1.77660	1.77707	1.77660	1.77675	40	0	42
2020.12.10	11:42:00	1.77672	1.77748	1.77662	1.77748	73	0	42
2020.12.10	11:43:00	1.77748	1.77819	1.77748	1.77798	97	0	42
2020.12.10	11:44:00	1.77796	1.77801	1.77748	1.77748	74	0	42
2020.12.10	11:45:00	1.77748	1.77762	1.77712	1.77714	86	0	42
2020.12.10	11:46:00	1.77714	1.77722	1.77676	1.77699	74	0	42
2020.12.10	11:47:00	1.77700	1.77716	1.77676	1.77678	97	0	44
2020.12.10	11:48:00	1.77676	1.77712	1.77649	1.77701	114	0	42
2020.12.10	11:49:00	1.77702	1.77747	1.77702	1.77737	59	0	43
2020.12.10	11:50:00	1.77739	1.77783	1.77729	1.77769	55	0	43
2020.12.10	11:51:00	1.77766	1.77869	1.77756	1.77859	79	0	42
2020.12.10	11:52:00	1.77857	1.77859	1.77800	1.77800	59	0	42
2020.12.10	11:53:00	1.77801	1.77813	1.77776	1.77812	57	0	43
2020.12.10	11:54:00	1.77812	1.77816	1.77782	1.77800	47	0	42
2020.12.10	11:55:00	1.77799	1.77817	1.77778	1.77804	51	0	42
