<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	139.115	139.120	139.055	139.055	85	0	19
2020.12.10	11:01:00	139.055	139.090	139.047	139.054	91	0	19
2020.12.10	11:02:00	139.052	139.080	139.034	139.040	107	0	19
2020.12.10	11:03:00	139.040	139.054	139.037	139.042	60	0	19
2020.12.10	11:04:00	139.041	139.044	139.024	139.038	97	0	19
2020.12.10	11:05:00	139.038	139.038	138.980	138.986	134	0	19
2020.12.10	11:06:00	138.986	139.046	138.985	139.036	94	0	19
2020.12.10	11:07:00	139.036	139.061	139.030	139.055	59	0	19
2020.12.10	11:08:00	139.055	139.075	139.043	139.074	55	0	19
2020.12.10	11:09:00	139.076	139.080	139.031	139.035	69	0	19
2020.12.10	11:10:00	139.034	139.051	139.030	139.047	53	0	19
2020.12.10	11:11:00	139.049	139.076	139.046	139.076	49	0	19
2020.12.10	11:12:00	139.076	139.081	139.042	139.074	77	0	19
2020.12.10	11:13:00	139.074	139.074	139.044	139.054	66	0	19
2020.12.10	11:14:00	139.054	139.054	139.026	139.039	61	0	19
2020.12.10	11:15:00	139.040	139.049	139.022	139.043	89	0	19
2020.12.10	11:16:00	139.043	139.072	139.043	139.064	85	0	19
2020.12.10	11:17:00	139.064	139.092	139.064	139.071	64	0	19
2020.12.10	11:18:00	139.070	139.086	139.051	139.086	48	0	19
2020.12.10	11:19:00	139.086	139.095	139.077	139.086	90	0	19
2020.12.10	11:20:00	139.085	139.085	139.051	139.065	63	0	19
2020.12.10	11:21:00	139.065	139.065	139.050	139.050	74	0	19
2020.12.10	11:22:00	139.049	139.057	139.010	139.055	67	0	19
2020.12.10	11:23:00	139.055	139.055	139.028	139.028	60	0	19
2020.12.10	11:24:00	139.028	139.031	139.005	139.008	62	0	19
2020.12.10	11:25:00	139.008	139.036	139.008	139.012	57	0	19
2020.12.10	11:26:00	139.012	139.012	138.943	138.976	73	0	19
2020.12.10	11:27:00	138.976	138.976	138.941	138.949	69	0	19
2020.12.10	11:28:00	138.947	138.998	138.943	138.987	95	0	19
2020.12.10	11:29:00	138.986	138.986	138.950	138.952	64	0	19
2020.12.10	11:30:00	138.952	138.975	138.946	138.953	79	0	19
2020.12.10	11:31:00	138.957	138.963	138.943	138.954	69	0	19
2020.12.10	11:32:00	138.954	138.981	138.953	138.953	41	0	19
2020.12.10	11:33:00	138.953	138.960	138.944	138.959	83	0	19
2020.12.10	11:34:00	138.964	139.009	138.964	138.977	75	0	19
2020.12.10	11:35:00	138.977	139.048	138.977	139.048	94	0	19
2020.12.10	11:36:00	139.048	139.086	139.019	139.086	96	0	19
2020.12.10	11:37:00	139.086	139.117	139.084	139.109	49	0	19
2020.12.10	11:38:00	139.109	139.135	139.090	139.101	87	0	19
2020.12.10	11:39:00	139.100	139.100	139.064	139.076	63	0	19
2020.12.10	11:40:00	139.076	139.092	139.060	139.090	54	0	19
2020.12.10	11:41:00	139.090	139.124	139.090	139.100	48	0	19
2020.12.10	11:42:00	139.099	139.138	139.096	139.116	71	0	19
2020.12.10	11:43:00	139.116	139.133	139.084	139.120	109	0	19
2020.12.10	11:44:00	139.126	139.128	139.103	139.103	45	0	19
2020.12.10	11:45:00	139.103	139.115	139.071	139.071	65	0	19
2020.12.10	11:46:00	139.071	139.076	139.039	139.072	54	0	19
2020.12.10	11:47:00	139.073	139.086	139.048	139.055	55	0	19
2020.12.10	11:48:00	139.046	139.065	139.028	139.053	102	0	19
2020.12.10	11:49:00	139.055	139.094	139.054	139.078	41	0	19
2020.12.10	11:50:00	139.078	139.101	139.070	139.078	53	0	19
2020.12.10	11:51:00	139.078	139.165	139.076	139.165	89	0	19
2020.12.10	11:52:00	139.165	139.165	139.111	139.121	70	0	19
2020.12.10	11:53:00	139.123	139.123	139.103	139.108	65	0	19
2020.12.10	11:54:00	139.107	139.107	139.076	139.078	63	0	19
2020.12.10	11:55:00	139.078	139.083	139.067	139.080	55	0	19
2020.12.10	11:56:00	139.080	139.125	139.080	139.104	67	0	19
2020.12.10	11:57:00	139.104	139.104	139.064	139.077	93	0	19
2020.12.10	11:58:00	139.078	139.106	139.078	139.098	76	0	20
2020.12.10	11:59:00	139.098	139.112	139.097	139.101	35	0	19
2020.12.10	12:00:00	139.098	139.124	139.093	139.122	50	0	19
2020.12.10	12:01:00	139.122	139.141	139.121	139.126	61	0	19
2020.12.10	12:02:00	139.126	139.130	139.114	139.123	52	0	19
2020.12.10	12:03:00	139.124	139.162	139.121	139.161	58	0	19
2020.12.10	12:04:00	139.163	139.188	139.162	139.175	41	0	20
2020.12.10	12:05:00	139.175	139.206	139.171	139.205	38	0	19
2020.12.10	12:06:00	139.205	139.222	139.204	139.218	49	0	19
2020.12.10	12:07:00	139.218	139.220	139.205	139.208	37	0	19
