<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	1.33089	1.33095	1.33048	1.33055	130	0	8
2020.12.10	11:01:00	1.33055	1.33071	1.33042	1.33048	97	0	8
2020.12.10	11:02:00	1.33046	1.33062	1.33024	1.33030	108	0	8
2020.12.10	11:03:00	1.33030	1.33052	1.33026	1.33028	70	0	8
2020.12.10	11:04:00	1.33028	1.33028	1.33002	1.33010	125	0	8
2020.12.10	11:05:00	1.33011	1.33013	1.32950	1.32987	132	0	8
2020.12.10	11:06:00	1.32987	1.33045	1.32982	1.33031	101	0	8
2020.12.10	11:07:00	1.33031	1.33053	1.33021	1.33040	100	0	8
2020.12.10	11:08:00	1.33041	1.33062	1.33025	1.33060	88	0	8
2020.12.10	11:09:00	1.33060	1.33063	1.33002	1.33002	101	0	8
2020.12.10	11:10:00	1.33004	1.33019	1.32997	1.33018	76	0	8
2020.12.10	11:11:00	1.33018	1.33029	1.33011	1.33026	87	0	8
2020.12.10	11:12:00	1.33027	1.33032	1.32993	1.33024	72	0	8
2020.12.10	11:13:00	1.33024	1.33024	1.32997	1.33009	79	0	8
2020.12.10	11:14:00	1.33009	1.33009	1.32977	1.32994	95	0	8
2020.12.10	11:15:00	1.32994	1.33017	1.32989	1.33009	115	0	8
2020.12.10	11:16:00	1.33018	1.33034	1.33005	1.33014	101	0	8
2020.12.10	11:17:00	1.33016	1.33058	1.33016	1.33035	107	0	8
2020.12.10	11:18:00	1.33034	1.33053	1.33019	1.33053	71	0	8
2020.12.10	11:19:00	1.33053	1.33069	1.33036	1.33048	112	0	8
2020.12.10	11:20:00	1.33044	1.33044	1.33019	1.33031	55	0	8
2020.12.10	11:21:00	1.33031	1.33037	1.33014	1.33014	36	0	8
2020.12.10	11:22:00	1.33014	1.33023	1.32973	1.33018	90	0	8
2020.12.10	11:23:00	1.33018	1.33020	1.32986	1.32986	69	0	8
2020.12.10	11:24:00	1.32986	1.32991	1.32960	1.32967	69	0	8
2020.12.10	11:25:00	1.32968	1.32999	1.32967	1.32981	69	0	8
2020.12.10	11:26:00	1.32980	1.32980	1.32917	1.32950	83	0	8
2020.12.10	11:27:00	1.32950	1.32950	1.32911	1.32924	89	0	8
2020.12.10	11:28:00	1.32925	1.32993	1.32918	1.32978	93	0	8
2020.12.10	11:29:00	1.32978	1.32978	1.32939	1.32940	75	0	8
2020.12.10	11:30:00	1.32940	1.32949	1.32931	1.32940	91	0	8
2020.12.10	11:31:00	1.32942	1.32951	1.32917	1.32950	79	0	8
2020.12.10	11:32:00	1.32951	1.32978	1.32950	1.32952	86	0	8
2020.12.10	11:33:00	1.32952	1.32955	1.32928	1.32943	76	0	8
2020.12.10	11:34:00	1.32944	1.33003	1.32944	1.32970	116	0	8
2020.12.10	11:35:00	1.32972	1.33034	1.32970	1.33033	120	0	8
2020.12.10	11:36:00	1.33034	1.33078	1.33007	1.33077	146	0	8
2020.12.10	11:37:00	1.33074	1.33115	1.33073	1.33108	84	0	8
2020.12.10	11:38:00	1.33108	1.33134	1.33091	1.33103	87	0	8
2020.12.10	11:39:00	1.33102	1.33104	1.33045	1.33089	74	0	8
2020.12.10	11:40:00	1.33090	1.33102	1.33070	1.33101	66	0	8
2020.12.10	11:41:00	1.33101	1.33134	1.33099	1.33111	64	0	8
2020.12.10	11:42:00	1.33114	1.33146	1.33105	1.33134	103	0	8
2020.12.10	11:43:00	1.33134	1.33176	1.33123	1.33159	119	0	8
2020.12.10	11:44:00	1.33158	1.33167	1.33142	1.33143	45	0	8
2020.12.10	11:45:00	1.33145	1.33163	1.33120	1.33122	79	0	8
2020.12.10	11:46:00	1.33121	1.33132	1.33093	1.33132	64	0	8
2020.12.10	11:47:00	1.33132	1.33143	1.33109	1.33109	73	0	8
2020.12.10	11:48:00	1.33105	1.33125	1.33087	1.33119	147	0	8
2020.12.10	11:49:00	1.33118	1.33151	1.33115	1.33136	68	0	8
2020.12.10	11:50:00	1.33137	1.33176	1.33125	1.33154	61	0	8
2020.12.10	11:51:00	1.33154	1.33253	1.33150	1.33252	87	0	8
2020.12.10	11:52:00	1.33252	1.33252	1.33198	1.33206	59	0	8
2020.12.10	11:53:00	1.33205	1.33206	1.33179	1.33200	51	0	8
2020.12.10	11:54:00	1.33200	1.33200	1.33167	1.33170	83	0	8
2020.12.10	11:55:00	1.33170	1.33176	1.33156	1.33172	98	0	8
2020.12.10	11:56:00	1.33172	1.33193	1.33162	1.33167	86	0	8
2020.12.10	11:57:00	1.33169	1.33170	1.33125	1.33144	91	0	8
2020.12.10	11:58:00	1.33144	1.33171	1.33144	1.33157	73	0	8
2020.12.10	11:59:00	1.33157	1.33170	1.33140	1.33170	81	0	8
2020.12.10	12:00:00	1.33168	1.33198	1.33158	1.33193	77	0	8
2020.12.10	12:01:00	1.33193	1.33211	1.33191	1.33203	75	0	8
2020.12.10	12:02:00	1.33203	1.33210	1.33191	1.33195	83	0	8
2020.12.10	12:03:00	1.33196	1.33237	1.33196	1.33234	103	0	8
2020.12.10	12:04:00	1.33236	1.33259	1.33236	1.33245	61	0	8
2020.12.10	12:05:00	1.33245	1.33286	1.33242	1.33281	61	0	8
2020.12.10	12:06:00	1.33281	1.33298	1.33276	1.33296	61	0	8
2020.12.10	12:07:00	1.33296	1.33296	1.33282	1.33288	41	0	8
2020.12.10	12:08:00	1.33289	1.33292	1.33280	1.33286	59	0	8
2020.12.10	12:09:00	1.33286	1.33291	1.33231	1.33241	83	0	8
2020.12.10	12:10:00	1.33240	1.33269	1.33239	1.33261	47	0	8
2020.12.10	12:11:00	1.33261	1.33261	1.33213	1.33213	64	0	8
2020.12.10	12:12:00	1.33213	1.33215	1.33192	1.33212	54	0	8
2020.12.10	12:13:00	1.33212	1.33224	1.33196	1.33212	57	0	8
2020.12.10	12:14:00	1.33212	1.33257	1.33202	1.33253	73	0	8
2020.12.10	12:15:00	1.33253	1.33253	1.33170	1.33182	85	0	8
2020.12.10	12:16:00	1.33183	1.33185	1.33163	1.33164	42	0	8
2020.12.10	12:17:00	1.33164	1.33198	1.33161	1.33190	53	0	8
2020.12.10	12:18:00	1.33190	1.33208	1.33159	1.33159	30	0	8
2020.12.10	12:19:00	1.33159	1.33172	1.33157	1.33159	49	0	8
2020.12.10	12:20:00	1.33159	1.33162	1.33150	1.33160	32	0	8
2020.12.10	12:21:00	1.33160	1.33169	1.33149	1.33152	100	0	8
2020.12.10	12:22:00	1.33152	1.33172	1.33149	1.33153	65	0	8
2020.12.10	12:23:00	1.33153	1.33174	1.33152	1.33154	39	0	8
2020.12.10	12:24:00	1.33154	1.33185	1.33154	1.33167	46	0	8
2020.12.10	12:25:00	1.33167	1.33180	1.33165	1.33179	35	0	8
2020.12.10	12:26:00	1.33179	1.33216	1.33176	1.33209	34	0	8
2020.12.10	12:27:00	1.33209	1.33222	1.33207	1.33209	41	0	8
2020.12.10	12:28:00	1.33209	1.33217	1.33209	1.33216	8	0	8
2020.12.10	12:29:00	1.33216	1.33234	1.33182	1.33184	54	0	8
2020.12.10	12:30:00	1.33185	1.33209	1.33165	1.33193	85	0	8
2020.12.10	12:31:00	1.33193	1.33233	1.33192	1.33232	38	0	8
2020.12.10	12:32:00	1.33232	1.33242	1.33181	1.33181	41	0	8
2020.12.10	12:33:00	1.33183	1.33188	1.33152	1.33152	53	0	8
2020.12.10	12:34:00	1.33152	1.33152	1.33110	1.33110	81	0	8
2020.12.10	12:35:00	1.33113	1.33117	1.33092	1.33101	58	0	8
2020.12.10	12:36:00	1.33102	1.33109	1.33080	1.33092	60	0	8
2020.12.10	12:37:00	1.33092	1.33094	1.33060	1.33061	70	0	8
2020.12.10	12:38:00	1.33062	1.33074	1.33003	1.33021	71	0	8
2020.12.10	12:39:00	1.33021	1.33034	1.33017	1.33019	84	0	8
2020.12.10	12:40:00	1.33019	1.33042	1.32986	1.32993	86	0	8
