<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2020.12.10,1:00:00,1838.507,1839.66,1838.507,1839.11,61,0,340
2020.12.10,1:01:00,1839.15,1839.29,1838.57,1838.71,66,0,440
2020.12.10,1:02:00,1838.72,1839.09,1838.63,1839.06,34,0,290
2020.12.10,1:03:00,1839.02,1839.02,1838.56,1838.65,52,0,380
2020.12.10,1:04:00,1838.6,1838.68,1838.45,1838.5,26,0,410
2020.12.10,1:05:00,1838.49,1839.379,1838.18,1838.21,52,0,360
2020.12.10,1:06:00,1838.19,1838.46,1838.17,1838.29,35,0,380
2020.12.10,1:07:00,1838.3,1838.52,1838.28,1838.29,21,0,290
2020.12.10,1:08:00,1838.29,1838.29,1837.46,1837.47,40,0,230
2020.12.10,1:09:00,1837.46,1837.51,1837.44,1837.49,13,0,330
2020.12.10,1:10:00,1837.52,1837.67,1837.31,1837.4,35,0,260
2020.12.10,1:11:00,1837.4,1837.52,1837.36,1837.49,20,0,330
2020.12.10,1:12:00,1837.49,1837.56,1837.49,1837.56,5,0,310
2020.12.10,1:13:00,1837.58,1837.86,1836.87,1836.9,41,0,180
2020.12.10,1:14:00,1836.9,1836.98,1835.99,1835.99,58,0,220
2020.12.10,1:15:00,1836,1836.46,1835.96,1836.32,58,0,300
2020.12.10,1:16:00,1836.31,1836.46,1836.2,1836.27,47,0,290
2020.12.10,1:17:00,1836.27,1836.39,1836.23,1836.36,33,0,220
2020.12.10,1:18:00,1836.36,1836.61,1835.98,1836.1,60,0,170
2020.12.10,1:19:00,1836.1,1836.31,1835.96,1835.98,54,0,270
2020.12.10,1:20:00,1835.97,1836.12,1835.63,1836.07,70,0,170
2020.12.10,1:21:00,1836.05,1836.11,1835.65,1835.77,62,0,140
2020.12.10,1:22:00,1835.75,1835.84,1835.48,1835.62,42,0,270
2020.12.10,1:23:00,1835.62,1836.07,1835.6,1835.98,31,0,190
2020.12.10,1:24:00,1835.98,1836.04,1835.79,1835.83,42,0,240
2020.12.10,1:25:00,1835.81,1835.89,1835.46,1835.53,39,0,290
2020.12.10,1:26:00,1835.52,1835.59,1835.44,1835.5,28,0,260
2020.12.10,1:27:00,1835.5,1835.57,1835.43,1835.55,34,0,300
2020.12.10,1:28:00,1835.55,1835.73,1835.53,1835.64,51,0,220
2020.12.10,1:29:00,1835.66,1835.86,1835.59,1835.83,40,0,250
2020.12.10,1:30:00,1835.83,1836.64,1835.83,1836.56,64,0,270
2020.12.10,1:31:00,1836.66,1837.08,1836.66,1836.86,89,0,163
2020.12.10,1:32:00,1836.92,1837.09,1836.78,1836.81,60,0,260
2020.12.10,1:33:00,1836.81,1836.92,1836.26,1836.26,53,0,210
2020.12.10,1:34:00,1836.26,1836.45,1836.16,1836.44,39,0,290
2020.12.10,1:35:00,1836.44,1836.56,1836,1836.01,78,0,250
2020.12.10,1:36:00,1836.03,1836.04,1835.66,1835.66,74,0,160
2020.12.10,1:37:00,1835.67,1836,1835.66,1836,66,0,150
2020.12.10,1:38:00,1835.99,1836.16,1835.8,1835.88,53,0,190
2020.12.10,1:39:00,1835.86,1836.09,1835.85,1835.89,44,0,230
2020.12.10,1:40:00,1835.89,1836.21,1835.89,1836.09,36,0,210
2020.12.10,1:41:00,1836.07,1836.12,1835.94,1835.96,28,0,270
2020.12.10,1:42:00,1835.95,1835.95,1834.99,1835.01,97,0,180
2020.12.10,1:43:00,1835.01,1835.29,1834.99,1835.14,40,0,180
2020.12.10,1:44:00,1835.15,1835.39,1834.99,1835.39,26,0,200
2020.12.10,1:45:00,1835.39,1835.59,1835,1835.09,54,0,210
