<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	1833.350	1833.520	1832.900	1833.350	120	0	200
2020.12.10	11:01:00	1833.360	1833.650	1833.320	1833.320	111	0	180
2020.12.10	11:02:00	1833.270	1833.470	1832.770	1832.790	96	0	140
2020.12.10	11:03:00	1832.790	1832.970	1832.680	1832.770	64	0	210
2020.12.10	11:04:00	1832.780	1832.780	1831.440	1832.190	126	0	140
2020.12.10	11:05:00	1832.290	1832.590	1832.080	1832.260	150	0	200
2020.12.10	11:06:00	1832.270	1832.420	1831.450	1831.510	145	0	140
2020.12.10	11:07:00	1831.490	1832.370	1831.490	1832.300	134	0	150
2020.12.10	11:08:00	1832.290	1832.530	1831.830	1832.260	147	0	150
2020.12.10	11:09:00	1832.260	1832.310	1831.830	1832.050	90	0	190
2020.12.10	11:10:00	1832.050	1832.100	1831.150	1831.360	96	0	140
2020.12.10	11:11:00	1831.380	1832.070	1831.380	1831.510	111	0	140
2020.12.10	11:12:00	1831.510	1831.510	1830.200	1830.330	146	0	140
2020.12.10	11:13:00	1830.340	1830.370	1829.900	1830.250	130	0	140
2020.12.10	11:14:00	1830.250	1830.250	1828.660	1828.770	166	0	140
2020.12.10	11:15:00	1828.810	1830.140	1828.630	1829.890	179	0	140
2020.12.10	11:16:00	1829.870	1831.540	1829.860	1831.500	167	0	147
2020.12.10	11:17:00	1831.440	1832.250	1831.430	1832.110	125	0	150
2020.12.10	11:18:00	1832.160	1832.480	1832.130	1832.190	85	0	140
2020.12.10	11:19:00	1832.200	1832.380	1832.040	1832.220	91	0	200
2020.12.10	11:20:00	1832.210	1832.610	1831.770	1831.780	95	0	140
2020.12.10	11:21:00	1831.780	1831.830	1830.110	1830.650	225	0	140
2020.12.10	11:22:00	1830.650	1831.150	1830.460	1830.870	143	0	140
2020.12.10	11:23:00	1830.870	1831.130	1829.520	1829.620	174	0	140
2020.12.10	11:24:00	1829.590	1830.410	1829.410	1830.210	139	0	180
2020.12.10	11:25:00	1830.220	1830.430	1830.200	1830.300	90	0	180
2020.12.10	11:26:00	1830.300	1830.550	1830.120	1830.540	107	0	170
2020.12.10	11:27:00	1830.540	1831.180	1830.390	1830.900	71	0	140
2020.12.10	11:28:00	1830.900	1831.280	1830.810	1831.280	146	0	170
2020.12.10	11:29:00	1831.330	1831.350	1830.280	1830.400	117	0	150
2020.12.10	11:30:00	1830.390	1831.093	1829.378	1830.930	197	0	157
2020.12.10	11:31:00	1830.930	1831.300	1830.700	1831.110	142	0	160
2020.12.10	11:32:00	1831.110	1831.110	1830.710	1830.790	62	0	140
2020.12.10	11:33:00	1830.810	1830.920	1830.200	1830.580	105	0	170
2020.12.10	11:34:00	1830.580	1831.110	1830.580	1831.080	129	0	176
2020.12.10	11:35:00	1831.080	1831.600	1830.590	1831.530	129	0	156
2020.12.10	11:36:00	1831.510	1831.740	1831.250	1831.520	118	0	140
2020.12.10	11:37:00	1831.520	1831.740	1831.420	1831.650	90	0	160
2020.12.10	11:38:00	1831.650	1831.680	1830.890	1831.130	93	0	140
2020.12.10	11:39:00	1831.130	1831.550	1830.950	1831.470	65	0	140
2020.12.10	11:40:00	1831.480	1831.490	1831.210	1831.320	49	0	171
2020.12.10	11:41:00	1831.320	1831.560	1831.260	1831.550	59	0	190
2020.12.10	11:42:00	1831.560	1831.570	1831.180	1831.370	52	0	140
