<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	2.431	2.431	2.430	2.430	2	0	7
2020.12.10	11:02:00	2.432	2.432	2.432	2.432	1	0	8
2020.12.10	11:03:00	2.432	2.433	2.432	2.433	2	0	7
2020.12.10	11:04:00	2.434	2.434	2.433	2.433	2	0	7
2020.12.10	11:05:00	2.433	2.433	2.433	2.433	1	0	7
2020.12.10	11:06:00	2.432	2.433	2.432	2.433	2	0	7
2020.12.10	11:07:00	2.433	2.434	2.432	2.434	4	0	7
2020.12.10	11:08:00	2.433	2.437	2.433	2.437	4	0	7
2020.12.10	11:09:00	2.436	2.437	2.436	2.437	6	0	7
2020.12.10	11:10:00	2.436	2.437	2.436	2.437	2	0	7
2020.12.10	11:11:00	2.437	2.437	2.436	2.437	3	0	8
2020.12.10	11:12:00	2.438	2.442	2.438	2.441	9	0	7
2020.12.10	11:13:00	2.442	2.443	2.441	2.442	5	0	7
2020.12.10	11:14:00	2.442	2.442	2.441	2.441	2	0	8
2020.12.10	11:15:00	2.440	2.440	2.439	2.439	2	0	7
2020.12.10	11:16:00	2.438	2.438	2.438	2.438	1	0	7
2020.12.10	11:17:00	2.437	2.439	2.437	2.439	5	0	7
2020.12.10	11:18:00	2.439	2.439	2.437	2.437	3	0	7
2020.12.10	11:19:00	2.436	2.437	2.436	2.437	2	0	7
2020.12.10	11:21:00	2.437	2.438	2.437	2.438	2	0	8
2020.12.10	11:22:00	2.439	2.442	2.439	2.442	2	0	4
2020.12.10	11:23:00	2.439	2.440	2.439	2.440	2	0	7
2020.12.10	11:24:00	2.440	2.440	2.439	2.439	2	0	7
2020.12.10	11:25:00	2.439	2.439	2.439	2.439	1	0	6
2020.12.10	11:26:00	2.439	2.439	2.439	2.439	1	0	6
2020.12.10	11:28:00	2.439	2.441	2.439	2.441	3	0	7
2020.12.10	11:29:00	2.441	2.441	2.440	2.441	5	0	7
2020.12.10	11:30:00	2.441	2.443	2.441	2.443	3	0	7
2020.12.10	11:31:00	2.443	2.443	2.441	2.442	4	0	7
2020.12.10	11:32:00	2.441	2.443	2.441	2.443	3	0	7
2020.12.10	11:33:00	2.442	2.442	2.441	2.441	2	0	7
2020.12.10	11:34:00	2.441	2.441	2.440	2.441	3	0	7
2020.12.10	11:35:00	2.441	2.441	2.441	2.441	1	0	7
2020.12.10	11:37:00	2.441	2.441	2.440	2.440	2	0	7
2020.12.10	11:38:00	2.439	2.439	2.439	2.439	1	0	8
2020.12.10	11:39:00	2.439	2.441	2.439	2.439	5	0	7
2020.12.10	11:40:00	2.440	2.441	2.440	2.441	2	0	8
2020.12.10	11:41:00	2.443	2.443	2.442	2.442	2	0	7
2020.12.10	11:42:00	2.441	2.441	2.440	2.440	2	0	8
2020.12.10	11:43:00	2.440	2.440	2.439	2.439	2	0	7
2020.12.10	11:46:00	2.439	2.440	2.439	2.440	2	0	7
2020.12.10	11:47:00	2.440	2.441	2.440	2.441	2	0	7
2020.12.10	11:49:00	2.440	2.441	2.440	2.441	2	0	7
2020.12.10	11:50:00	2.440	2.441	2.440	2.441	2	0	7
2020.12.10	11:51:00	2.440	2.444	2.440	2.443	4	0	7
2020.12.10	11:52:00	2.444	2.450	2.444	2.450	7	0	7
2020.12.10	11:53:00	2.451	2.451	2.447	2.447	7	0	7
2020.12.10	11:54:00	2.447	2.448	2.447	2.448	2	0	7
2020.12.10	11:55:00	2.447	2.448	2.446	2.447	4	0	7
