<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	0.62594	0.62594	0.62575	0.62577	50	0	47
2020.12.10	11:01:00	0.62577	0.62592	0.62577	0.62582	43	0	47
2020.12.10	11:02:00	0.62582	0.62590	0.62577	0.62586	56	0	46
2020.12.10	11:03:00	0.62585	0.62588	0.62577	0.62581	29	0	46
2020.12.10	11:04:00	0.62580	0.62594	0.62575	0.62594	41	0	46
2020.12.10	11:05:00	0.62594	0.62621	0.62592	0.62616	63	0	46
2020.12.10	11:06:00	0.62618	0.62626	0.62616	0.62619	39	0	47
2020.12.10	11:07:00	0.62619	0.62624	0.62616	0.62620	27	0	47
2020.12.10	11:08:00	0.62620	0.62629	0.62616	0.62625	38	0	47
2020.12.10	11:09:00	0.62624	0.62632	0.62618	0.62632	35	0	47
2020.12.10	11:10:00	0.62630	0.62635	0.62625	0.62631	38	0	47
2020.12.10	11:11:00	0.62630	0.62633	0.62621	0.62630	24	0	49
2020.12.10	11:12:00	0.62628	0.62632	0.62611	0.62619	30	0	48
2020.12.10	11:13:00	0.62619	0.62621	0.62613	0.62616	23	0	48
2020.12.10	11:14:00	0.62616	0.62626	0.62608	0.62620	28	0	47
2020.12.10	11:15:00	0.62621	0.62633	0.62620	0.62633	41	0	46
2020.12.10	11:16:00	0.62633	0.62638	0.62630	0.62637	26	0	47
2020.12.10	11:17:00	0.62638	0.62650	0.62637	0.62643	33	0	48
2020.12.10	11:18:00	0.62643	0.62654	0.62643	0.62652	19	0	46
2020.12.10	11:19:00	0.62652	0.62654	0.62648	0.62651	48	0	46
2020.12.10	11:20:00	0.62651	0.62652	0.62643	0.62646	27	0	46
2020.12.10	11:21:00	0.62645	0.62645	0.62628	0.62629	28	0	47
2020.12.10	11:22:00	0.62628	0.62628	0.62614	0.62615	17	0	47
2020.12.10	11:23:00	0.62614	0.62620	0.62614	0.62616	34	0	47
2020.12.10	11:24:00	0.62616	0.62620	0.62613	0.62619	21	0	47
2020.12.10	11:25:00	0.62623	0.62648	0.62623	0.62648	36	0	47
2020.12.10	11:26:00	0.62648	0.62648	0.62638	0.62645	27	0	46
2020.12.10	11:27:00	0.62645	0.62647	0.62638	0.62647	16	0	47
2020.12.10	11:28:00	0.62647	0.62687	0.62642	0.62687	59	0	46
2020.12.10	11:29:00	0.62687	0.62694	0.62679	0.62689	43	0	47
2020.12.10	11:30:00	0.62687	0.62689	0.62677	0.62686	29	0	48
2020.12.10	11:31:00	0.62685	0.62694	0.62681	0.62691	30	0	47
2020.12.10	11:32:00	0.62691	0.62699	0.62687	0.62694	28	0	46
2020.12.10	11:33:00	0.62694	0.62697	0.62690	0.62691	30	0	47
2020.12.10	11:34:00	0.62691	0.62708	0.62687	0.62701	35	0	47
2020.12.10	11:35:00	0.62702	0.62704	0.62682	0.62701	57	0	46
2020.12.10	11:36:00	0.62701	0.62702	0.62686	0.62694	48	0	48
2020.12.10	11:37:00	0.62693	0.62694	0.62669	0.62669	21	0	47
