<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	73.555	73.556	73.525	73.526	71	0	29
2020.12.10	11:01:00	73.526	73.547	73.523	73.524	92	0	28
2020.12.10	11:02:00	73.516	73.529	73.516	73.523	75	0	28
2020.12.10	11:03:00	73.524	73.527	73.510	73.513	41	0	29
2020.12.10	11:04:00	73.514	73.526	73.505	73.526	74	0	28
2020.12.10	11:05:00	73.525	73.546	73.523	73.541	102	0	28
2020.12.10	11:06:00	73.541	73.562	73.541	73.558	56	0	28
2020.12.10	11:07:00	73.558	73.572	73.558	73.569	34	0	28
2020.12.10	11:08:00	73.569	73.579	73.565	73.572	46	0	28
2020.12.10	11:09:00	73.571	73.576	73.563	73.569	43	0	28
2020.12.10	11:10:00	73.570	73.574	73.561	73.572	66	0	28
2020.12.10	11:11:00	73.573	73.583	73.566	73.582	41	0	28
2020.12.10	11:12:00	73.582	73.585	73.571	73.582	48	0	28
2020.12.10	11:13:00	73.582	73.583	73.573	73.579	38	0	28
2020.12.10	11:14:00	73.579	73.587	73.568	73.578	37	0	28
2020.12.10	11:15:00	73.578	73.583	73.571	73.583	58	0	28
2020.12.10	11:16:00	73.583	73.590	73.578	73.589	33	0	28
2020.12.10	11:17:00	73.590	73.605	73.590	73.600	41	0	28
2020.12.10	11:18:00	73.601	73.611	73.598	73.609	30	0	28
2020.12.10	11:19:00	73.609	73.623	73.603	73.619	42	0	28
2020.12.10	11:20:00	73.618	73.618	73.608	73.611	37	0	29
2020.12.10	11:21:00	73.611	73.615	73.600	73.600	46	0	28
2020.12.10	11:22:00	73.600	73.600	73.584	73.591	56	0	28
2020.12.10	11:23:00	73.591	73.596	73.582	73.591	47	0	28
2020.12.10	11:24:00	73.591	73.595	73.588	73.589	40	0	28
2020.12.10	11:25:00	73.589	73.614	73.589	73.613	39	0	29
2020.12.10	11:26:00	73.613	73.614	73.602	73.603	34	0	29
2020.12.10	11:27:00	73.603	73.610	73.599	73.604	42	0	29
2020.12.10	11:28:00	73.605	73.654	73.604	73.654	82	0	28
2020.12.10	11:29:00	73.654	73.654	73.635	73.647	52	0	28
2020.12.10	11:30:00	73.647	73.654	73.639	73.652	37	0	29
2020.12.10	11:31:00	73.652	73.665	73.648	73.664	45	0	28
2020.12.10	11:32:00	73.664	73.669	73.661	73.664	49	0	28
2020.12.10	11:33:00	73.662	73.669	73.654	73.667	43	0	28
2020.12.10	11:34:00	73.667	73.685	73.667	73.679	49	0	28
2020.12.10	11:35:00	73.679	73.703	73.678	73.700	56	0	28
2020.12.10	11:36:00	73.700	73.701	73.676	73.686	69	0	28
2020.12.10	11:37:00	73.686	73.686	73.658	73.658	32	0	28
2020.12.10	11:38:00	73.657	73.658	73.630	73.635	65	0	28
2020.12.10	11:39:00	73.635	73.636	73.623	73.623	55	0	28
2020.12.10	11:40:00	73.625	73.631	73.620	73.631	53	0	28
2020.12.10	11:41:00	73.631	73.637	73.629	73.629	38	0	28
2020.12.10	11:42:00	73.629	73.640	73.623	73.624	57	0	28
2020.12.10	11:43:00	73.623	73.623	73.602	73.607	72	0	28
2020.12.10	11:44:00	73.607	73.626	73.604	73.620	45	0	28
2020.12.10	11:45:00	73.620	73.624	73.612	73.619	74	0	28
2020.12.10	11:46:00	73.619	73.641	73.612	73.636	37	0	28
2020.12.10	11:47:00	73.636	73.638	73.626	73.630	39	0	28
2020.12.10	11:48:00	73.630	73.633	73.617	73.630	61	0	29
2020.12.10	11:49:00	73.630	73.634	73.627	73.630	36	0	29
2020.12.10	11:50:00	73.631	73.631	73.620	73.621	44	0	28
2020.12.10	11:51:00	73.621	73.628	73.620	73.624	33	0	28
2020.12.10	11:52:00	73.623	73.625	73.614	73.625	46	0	28
2020.12.10	11:53:00	73.623	73.628	73.598	73.598	47	0	28
2020.12.10	11:54:00	73.598	73.604	73.577	73.577	52	0	28
2020.12.10	11:55:00	73.577	73.577	73.564	73.566	50	0	29
2020.12.10	11:56:00	73.565	73.576	73.564	73.566	36	0	28
2020.12.10	11:57:00	73.565	73.568	73.536	73.547	75	0	28
2020.12.10	11:58:00	73.547	73.555	73.547	73.554	47	0	29
2020.12.10	11:59:00	73.554	73.569	73.549	73.569	36	0	28
2020.12.10	12:00:00	73.570	73.578	73.565	73.565	61	0	28
2020.12.10	12:01:00	73.565	73.566	73.555	73.561	35	0	29
2020.12.10	12:02:00	73.561	73.568	73.559	73.566	38	0	28
2020.12.10	12:03:00	73.565	73.585	73.562	73.582	61	0	28
2020.12.10	12:04:00	73.583	73.584	73.577	73.580	20	0	29
2020.12.10	12:05:00	73.581	73.584	73.577	73.582	38	0	29
2020.12.10	12:06:00	73.584	73.586	73.577	73.584	37	0	28
2020.12.10	12:07:00	73.584	73.592	73.584	73.590	30	0	28
2020.12.10	12:08:00	73.589	73.602	73.589	73.590	37	0	28
2020.12.10	12:09:00	73.590	73.590	73.571	73.581	37	0	28
2020.12.10	12:10:00	73.580	73.595	73.575	73.593	50	0	28
2020.12.10	12:11:00	73.592	73.596	73.585	73.594	65	0	28
2020.12.10	12:12:00	73.594	73.600	73.592	73.597	32	0	29
2020.12.10	12:13:00	73.597	73.599	73.588	73.597	42	0	28
2020.12.10	12:14:00	73.598	73.602	73.593	73.602	35	0	28
2020.12.10	12:15:00	73.602	73.605	73.588	73.588	40	0	28
2020.12.10	12:16:00	73.588	73.589	73.571	73.572	41	0	28
2020.12.10	12:17:00	73.573	73.585	73.571	73.584	34	0	29
2020.12.10	12:18:00	73.584	73.589	73.577	73.577	45	0	28
2020.12.10	12:19:00	73.577	73.578	73.568	73.569	51	0	28
2020.12.10	12:20:00	73.568	73.578	73.566	73.576	49	0	29
2020.12.10	12:21:00	73.577	73.578	73.569	73.575	44	0	29
2020.12.10	12:22:00	73.574	73.580	73.572	73.573	37	0	28
2020.12.10	12:23:00	73.573	73.588	73.573	73.585	30	0	29
2020.12.10	12:24:00	73.585	73.590	73.579	73.580	41	0	28
2020.12.10	12:25:00	73.579	73.583	73.578	73.579	13	0	28
2020.12.10	12:26:00	73.579	73.585	73.577	73.585	36	0	29
2020.12.10	12:27:00	73.585	73.597	73.584	73.596	46	0	29
2020.12.10	12:28:00	73.596	73.597	73.593	73.595	20	0	30
2020.12.10	12:29:00	73.594	73.597	73.588	73.597	47	0	29
2020.12.10	12:30:00	73.597	73.604	73.592	73.601	52	0	28
2020.12.10	12:31:00	73.601	73.603	73.600	73.600	26	0	29
2020.12.10	12:32:00	73.600	73.612	73.600	73.607	31	0	28
2020.12.10	12:33:00	73.606	73.612	73.604	73.605	37	0	28
2020.12.10	12:34:00	73.605	73.607	73.588	73.588	45	0	28
2020.12.10	12:35:00	73.588	73.595	73.578	73.591	46	0	28
2020.12.10	12:36:00	73.590	73.596	73.587	73.596	24	0	29
2020.12.10	12:37:00	73.596	73.600	73.590	73.590	41	0	29
2020.12.10	12:38:00	73.590	73.591	73.576	73.581	54	0	29
2020.12.10	12:39:00	73.582	73.584	73.579	73.583	41	0	30
2020.12.10	12:40:00	73.584	73.587	73.578	73.580	47	0	29
2020.12.10	12:41:00	73.580	73.588	73.579	73.588	45	0	29
2020.12.10	12:42:00	73.588	73.588	73.574	73.575	42	0	29
2020.12.10	12:43:00	73.574	73.578	73.563	73.564	51	0	28
2020.12.10	12:44:00	73.565	73.580	73.565	73.579	31	0	28
2020.12.10	12:45:00	73.578	73.579	73.568	73.570	49	0	28
2020.12.10	12:46:00	73.570	73.571	73.563	73.567	26	0	29
2020.12.10	12:47:00	73.567	73.590	73.562	73.586	45	0	28
2020.12.10	12:48:00	73.586	73.587	73.580	73.582	19	0	29
2020.12.10	12:49:00	73.582	73.597	73.580	73.597	28	0	29
2020.12.10	12:50:00	73.597	73.607	73.595	73.606	34	0	29
2020.12.10	12:51:00	73.606	73.607	73.602	73.605	39	0	28
2020.12.10	12:52:00	73.604	73.606	73.591	73.593	26	0	29
2020.12.10	12:53:00	73.592	73.604	73.591	73.602	42	0	28
2020.12.10	12:54:00	73.603	73.603	73.589	73.592	34	0	29
2020.12.10	12:55:00	73.592	73.592	73.583	73.584	25	0	28
2020.12.10	12:56:00	73.585	73.602	73.585	73.598	39	0	28
2020.12.10	12:57:00	73.599	73.599	73.589	73.591	31	0	29
2020.12.10	12:58:00	73.591	73.599	73.580	73.596	47	0	28
2020.12.10	12:59:00	73.594	73.594	73.584	73.585	27	0	28
2020.12.10	13:00:00	73.584	73.593	73.584	73.585	27	0	29
2020.12.10	13:01:00	73.583	73.588	73.577	73.587	25	0	29
2020.12.10	13:02:00	73.588	73.594	73.585	73.586	30	0	30
2020.12.10	13:03:00	73.585	73.585	73.573	73.575	29	0	28
2020.12.10	13:04:00	73.575	73.598	73.574	73.592	45	0	28
