<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	2288.72	2288.72	2288.62	2288.62	2	0	803
2020.12.10	11:01:00	2288.53	2288.53	2284.33	2284.33	2	0	825
2020.12.10	11:02:00	2284.33	2284.33	2275.67	2277.10	5	0	720
2020.12.10	11:03:00	2277.08	2277.08	2275.83	2276.27	3	0	1273
2020.12.10	11:04:00	2276.44	2279.19	2276.44	2279.14	3	0	1237
2020.12.10	11:05:00	2283.86	2283.86	2281.73	2281.90	3	0	1145
2020.12.10	11:06:00	2282.02	2282.02	2282.02	2282.02	1	0	1121
2020.12.10	11:07:00	2282.33	2282.33	2282.33	2282.33	1	0	1090
2020.12.10	11:08:00	2290.52	2290.52	2285.84	2286.34	12	0	985
2020.12.10	11:09:00	2286.47	2286.73	2285.48	2286.73	4	0	1179
2020.12.10	11:10:00	2286.57	2286.57	2286.20	2286.20	4	0	1211
2020.12.10	11:11:00	2286.36	2286.36	2285.12	2285.12	4	0	1254
2020.12.10	11:12:00	2285.09	2285.09	2285.06	2285.06	2	0	1282
2020.12.10	11:13:00	2283.81	2283.83	2283.81	2283.83	2	0	1284
2020.12.10	11:14:00	2283.84	2283.87	2283.84	2283.87	2	0	1276
2020.12.10	11:15:00	2283.89	2283.89	2283.77	2283.79	3	0	1268
2020.12.10	11:16:00	2283.81	2283.82	2283.81	2283.82	2	0	1262
2020.12.10	11:17:00	2283.82	2283.87	2283.82	2283.87	2	0	1252
2020.12.10	11:18:00	2283.86	2283.89	2283.86	2283.89	2	0	1248
2020.12.10	11:20:00	2283.94	2283.95	2283.94	2283.95	2	0	1236
2020.12.10	11:21:00	2283.97	2283.97	2282.97	2282.97	2	0	1233
2020.12.10	11:22:00	2282.99	2283.01	2282.99	2283.01	2	0	1224
2020.12.10	11:23:00	2283.02	2283.02	2282.79	2282.80	3	0	1219
2020.12.10	11:24:00	2287.05	2287.05	2282.23	2282.35	3	0	1159
2020.12.10	11:25:00	2282.45	2282.53	2282.45	2282.53	2	0	1123
2020.12.10	11:26:00	2282.60	2282.65	2282.60	2282.65	2	0	1100
2020.12.10	11:27:00	2282.69	2282.72	2282.69	2282.72	2	0	1086
2020.12.10	11:29:00	2283.72	2286.18	2283.72	2286.18	2	0	1044
2020.12.10	11:30:00	2285.93	2285.93	2284.24	2284.56	6	0	1018
2020.12.10	11:31:00	2284.63	2284.63	2284.63	2284.63	1	0	1003
2020.12.10	11:32:00	2284.69	2284.74	2284.69	2284.74	2	0	982
2020.12.10	11:33:00	2284.77	2284.80	2284.77	2284.80	2	0	969
2020.12.10	11:35:00	2284.78	2284.78	2284.78	2284.78	1	0	973
2020.12.10	11:36:00	2285.02	2285.11	2285.02	2285.11	2	0	908
2020.12.10	11:38:00	2285.18	2285.18	2285.18	2285.18	1	0	894
2020.12.10	11:39:00	2285.23	2285.23	2285.23	2285.23	1	0	883
2020.12.10	11:40:00	2285.28	2285.31	2285.28	2285.31	2	0	867
2020.12.10	11:41:00	2285.34	2285.34	2285.34	2285.34	1	0	861
2020.12.10	11:42:00	2285.09	2285.09	2282.94	2282.94	4	0	861
2020.12.10	11:43:00	2282.63	2282.63	2277.13	2281.75	10	0	800
2020.12.10	11:44:00	2281.74	2282.45	2281.74	2282.19	5	0	840
2020.12.10	11:45:00	2282.00	2282.00	2281.81	2281.81	2	0	930
2020.12.10	11:46:00	2281.73	2281.73	2281.73	2281.73	1	0	984
2020.12.10	11:47:00	2281.71	2284.46	2281.71	2283.61	3	0	988
2020.12.10	11:48:00	2283.55	2283.55	2282.81	2282.81	3	0	1018
2020.12.10	11:49:00	2282.86	2282.86	2281.36	2281.43	3	0	993
2020.12.10	11:50:00	2280.93	2281.17	2279.53	2279.91	6	0	945
2020.12.10	11:51:00	2280.20	2280.28	2279.87	2279.87	9	0	999
2020.12.10	11:52:00	2279.62	2279.62	2277.95	2278.17	15	0	996
2020.12.10	11:53:00	2278.16	2278.16	2273.51	2273.51	26	0	1041
2020.12.10	11:54:00	2273.07	2277.49	2271.76	2274.01	21	0	709
2020.12.10	11:55:00	2274.13	2282.38	2274.13	2279.08	12	0	772
2020.12.10	11:56:00	2279.08	2281.69	2278.36	2281.18	10	0	809
2020.12.10	11:58:00	2280.76	2284.51	2280.76	2284.51	3	0	995
2020.12.10	11:59:00	2284.34	2284.34	2284.20	2284.20	2	0	1079
2020.12.10	12:00:00	2284.09	2284.09	2284.00	2284.00	2	0	1129
2020.12.10	12:01:00	2283.92	2283.92	2283.87	2283.87	2	0	1162
2020.12.10	12:02:00	2283.62	2283.62	2283.08	2283.14	3	0	1166
2020.12.10	12:04:00	2284.14	2284.21	2284.14	2284.21	3	0	1153
2020.12.10	12:05:00	2284.23	2284.23	2284.22	2284.22	2	0	1149
2020.12.10	12:08:00	2284.24	2284.28	2284.24	2284.28	2	0	1138
2020.12.10	12:09:00	2284.31	2285.64	2284.31	2284.39	4	0	1117
