<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	1006.29	1006.29	1005.34	1005.66	16	0	537
2020.12.10	11:01:00	1005.48	1005.73	1005.39	1005.39	21	0	548
2020.12.10	11:02:00	1005.36	1005.45	1005.07	1005.22	20	0	557
2020.12.10	11:03:00	1005.07	1005.22	1005.07	1005.07	6	0	555
2020.12.10	11:04:00	1005.07	1005.07	1003.97	1004.31	26	0	539
2020.12.10	11:05:00	1004.34	1004.64	1004.04	1004.09	48	0	560
2020.12.10	11:06:00	1004.14	1004.30	1003.57	1003.60	30	0	552
2020.12.10	11:07:00	1003.60	1003.99	1003.56	1003.56	23	0	550
2020.12.10	11:08:00	1003.66	1004.77	1003.66	1004.58	15	0	541
2020.12.10	11:09:00	1004.58	1004.60	1004.42	1004.57	10	0	561
2020.12.10	11:10:00	1004.42	1004.66	1003.82	1003.87	19	0	556
2020.12.10	11:11:00	1004.02	1004.23	1004.02	1004.13	10	0	553
2020.12.10	11:12:00	1004.15	1004.15	1003.83	1003.96	25	0	553
2020.12.10	11:13:00	1003.96	1003.97	1003.62	1003.65	11	0	552
2020.12.10	11:14:00	1003.65	1003.75	1003.38	1003.43	18	0	545
2020.12.10	11:15:00	1003.43	1003.46	1003.00	1003.46	35	0	560
2020.12.10	11:16:00	1003.46	1003.79	1003.36	1003.60	26	0	560
2020.12.10	11:17:00	1003.63	1004.53	1003.63	1004.30	27	0	560
2020.12.10	11:18:00	1004.33	1004.90	1004.33	1004.79	15	0	553
2020.12.10	11:19:00	1004.79	1005.25	1004.79	1005.09	10	0	554
2020.12.10	11:20:00	1005.04	1005.76	1004.64	1004.89	28	0	562
2020.12.10	11:21:00	1005.08	1005.11	1004.26	1004.38	33	0	560
2020.12.10	11:22:00	1004.30	1004.57	1004.23	1004.57	11	0	569
2020.12.10	11:23:00	1004.37	1004.60	1003.98	1004.00	17	0	562
2020.12.10	11:24:00	1004.00	1004.43	1003.90	1004.25	22	0	564
2020.12.10	11:25:00	1004.25	1004.91	1004.25	1004.86	14	0	569
2020.12.10	11:26:00	1004.81	1005.33	1004.81	1005.33	10	0	561
2020.12.10	11:27:00	1005.34	1005.91	1005.33	1005.90	11	0	560
2020.12.10	11:28:00	1005.90	1006.96	1005.90	1006.96	22	0	561
2020.12.10	11:29:00	1006.96	1007.18	1006.56	1006.56	22	0	553
2020.12.10	11:30:00	1006.61	1007.36	1006.02	1007.27	36	0	561
2020.12.10	11:31:00	1007.27	1007.95	1007.24	1007.95	14	0	569
2020.12.10	11:32:00	1007.95	1008.47	1007.89	1008.01	20	0	557
2020.12.10	11:33:00	1007.94	1007.94	1007.56	1007.65	14	0	550
2020.12.10	11:34:00	1007.65	1008.61	1007.65	1008.30	19	0	558
2020.12.10	11:35:00	1008.33	1008.53	1007.88	1008.53	31	0	563
2020.12.10	11:36:00	1008.51	1008.75	1008.42	1008.53	24	0	557
2020.12.10	11:37:00	1008.48	1008.55	1007.89	1007.90	21	0	538
2020.12.10	11:38:00	1007.88	1007.88	1007.62	1007.81	11	0	554
2020.12.10	11:39:00	1007.84	1008.13	1007.84	1008.10	17	0	542
2020.12.10	11:40:00	1008.13	1008.13	1007.75	1007.98	16	0	558
2020.12.10	11:41:00	1007.98	1008.02	1007.98	1008.02	4	0	560
2020.12.10	11:42:00	1008.02	1008.02	1007.30	1007.42	7	0	551
2020.12.10	11:43:00	1007.44	1007.97	1007.44	1007.94	10	0	563
2020.12.10	11:44:00	1008.10	1008.21	1007.79	1008.21	9	0	553
2020.12.10	11:45:00	1008.21	1008.41	1007.80	1008.28	16	0	546
2020.12.10	11:46:00	1008.30	1009.13	1008.30	1008.97	21	0	546
2020.12.10	11:47:00	1008.92	1009.38	1008.92	1009.15	18	0	535
2020.12.10	11:48:00	1009.15	1009.38	1008.88	1009.10	35	0	527
