<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	23.797	23.802	23.794	23.799	15	0	18
2020.12.10	11:01:00	23.797	23.802	23.794	23.794	20	0	19
2020.12.10	11:02:00	23.794	23.794	23.778	23.778	19	0	18
2020.12.10	11:03:00	23.778	23.778	23.763	23.767	18	0	18
2020.12.10	11:04:00	23.765	23.767	23.709	23.730	39	0	13
2020.12.10	11:05:00	23.732	23.752	23.732	23.750	35	0	18
2020.12.10	11:06:00	23.750	23.758	23.743	23.748	23	0	18
2020.12.10	11:07:00	23.748	23.765	23.748	23.765	23	0	18
2020.12.10	11:08:00	23.765	23.778	23.765	23.778	18	0	17
2020.12.10	11:09:00	23.778	23.780	23.768	23.773	14	0	19
2020.12.10	11:10:00	23.773	23.778	23.755	23.758	14	0	12
2020.12.10	11:11:00	23.760	23.775	23.760	23.775	19	0	16
2020.12.10	11:12:00	23.775	23.775	23.748	23.748	18	0	18
2020.12.10	11:13:00	23.748	23.748	23.738	23.745	25	0	17
2020.12.10	11:14:00	23.745	23.745	23.723	23.726	43	0	16
2020.12.10	11:15:00	23.723	23.751	23.723	23.743	43	0	17
2020.12.10	11:16:00	23.743	23.768	23.743	23.765	47	0	17
2020.12.10	11:17:00	23.768	23.783	23.768	23.779	26	0	17
2020.12.10	11:18:00	23.780	23.788	23.780	23.788	16	0	19
2020.12.10	11:19:00	23.788	23.798	23.788	23.794	24	0	19
2020.12.10	11:20:00	23.793	23.807	23.792	23.797	19	0	18
2020.12.10	11:21:00	23.797	23.797	23.777	23.785	39	0	17
2020.12.10	11:22:00	23.787	23.792	23.782	23.792	19	0	18
2020.12.10	11:23:00	23.792	23.792	23.770	23.770	28	0	17
2020.12.10	11:24:00	23.770	23.775	23.763	23.766	32	0	16
2020.12.10	11:25:00	23.766	23.776	23.765	23.773	16	0	17
2020.12.10	11:26:00	23.770	23.799	23.770	23.799	21	0	17
2020.12.10	11:27:00	23.799	23.815	23.796	23.813	18	0	17
2020.12.10	11:28:00	23.815	23.839	23.813	23.839	34	0	17
2020.12.10	11:29:00	23.840	23.845	23.823	23.825	17	0	18
2020.12.10	11:30:00	23.828	23.842	23.805	23.840	32	0	17
2020.12.10	11:31:00	23.840	23.845	23.833	23.845	19	0	17
2020.12.10	11:32:00	23.842	23.845	23.828	23.830	12	0	17
2020.12.10	11:33:00	23.830	23.833	23.818	23.833	24	0	18
2020.12.10	11:34:00	23.833	23.850	23.833	23.850	17	0	17
2020.12.10	11:35:00	23.850	23.868	23.840	23.865	27	0	18
2020.12.10	11:36:00	23.865	23.868	23.856	23.863	27	0	19
2020.12.10	11:37:00	23.863	23.865	23.860	23.860	12	0	19
2020.12.10	11:38:00	23.860	23.860	23.838	23.843	31	0	19
2020.12.10	11:39:00	23.843	23.848	23.840	23.848	20	0	19
2020.12.10	11:40:00	23.848	23.848	23.840	23.840	13	0	19
2020.12.10	11:41:00	23.840	23.848	23.840	23.848	5	0	20
2020.12.10	11:42:00	23.848	23.848	23.838	23.841	10	0	19
2020.12.10	11:43:00	23.841	23.855	23.841	23.852	13	0	18
2020.12.10	11:44:00	23.852	23.855	23.840	23.840	12	0	19
2020.12.10	11:45:00	23.840	23.855	23.840	23.853	18	0	12
2020.12.10	11:46:00	23.853	23.880	23.853	23.878	20	0	18
2020.12.10	11:47:00	23.877	23.883	23.873	23.876	22	0	18
2020.12.10	11:48:00	23.878	23.878	23.860	23.860	21	0	16
2020.12.10	11:49:00	23.860	23.878	23.860	23.870	11	0	15
2020.12.10	11:50:00	23.870	23.892	23.850	23.888	38	0	14
2020.12.10	11:51:00	23.889	23.891	23.886	23.887	13	0	18
2020.12.10	11:52:00	23.886	23.892	23.881	23.890	36	0	17
2020.12.10	11:53:00	23.891	23.891	23.871	23.872	66	0	15
2020.12.10	11:54:00	23.874	23.885	23.873	23.882	47	0	16
2020.12.10	11:55:00	23.883	23.902	23.855	23.857	46	0	15
2020.12.10	11:56:00	23.857	23.865	23.854	23.854	11	0	16
2020.12.10	11:57:00	23.854	23.854	23.842	23.847	7	0	15
2020.12.10	11:58:00	23.847	23.847	23.837	23.839	6	0	15
2020.12.10	11:59:00	23.839	23.848	23.831	23.848	19	0	13
2020.12.10	12:00:00	23.843	23.851	23.843	23.848	20	0	16
2020.12.10	12:01:00	23.848	23.851	23.836	23.848	13	0	18
2020.12.10	12:02:00	23.848	23.855	23.845	23.848	14	0	18
2020.12.10	12:03:00	23.850	23.855	23.847	23.855	11	0	19
2020.12.10	12:04:00	23.855	23.855	23.850	23.853	4	0	19
2020.12.10	12:05:00	23.855	23.855	23.843	23.843	11	0	18
2020.12.10	12:06:00	23.843	23.843	23.830	23.830	11	0	18
2020.12.10	12:07:00	23.830	23.843	23.830	23.835	17	0	19
2020.12.10	12:08:00	23.835	23.845	23.835	23.842	10	0	18
2020.12.10	12:09:00	23.842	23.845	23.837	23.840	6	0	18
2020.12.10	12:10:00	23.840	23.845	23.840	23.845	10	0	19
2020.12.10	12:11:00	23.845	23.845	23.840	23.840	8	0	18
2020.12.10	12:12:00	23.842	23.857	23.842	23.854	12	0	19
2020.12.10	12:13:00	23.854	23.859	23.854	23.859	18	0	19
2020.12.10	12:14:00	23.859	23.867	23.857	23.867	8	0	19
2020.12.10	12:15:00	23.867	23.867	23.850	23.850	12	0	18
2020.12.10	12:16:00	23.850	23.850	23.835	23.835	10	0	18
2020.12.10	12:17:00	23.835	23.840	23.833	23.833	11	0	18
2020.12.10	12:18:00	23.833	23.835	23.828	23.830	12	0	19
2020.12.10	12:19:00	23.830	23.830	23.825	23.828	8	0	19
2020.12.10	12:20:00	23.828	23.833	23.825	23.827	10	0	20
2020.12.10	12:21:00	23.827	23.828	23.818	23.818	12	0	19
2020.12.10	12:22:00	23.818	23.821	23.813	23.818	13	0	19
2020.12.10	12:23:00	23.818	23.826	23.816	23.823	7	0	18
2020.12.10	12:24:00	23.823	23.823	23.816	23.816	9	0	17
2020.12.10	12:25:00	23.816	23.826	23.816	23.823	9	0	17
2020.12.10	12:26:00	23.826	23.831	23.826	23.828	6	0	18
2020.12.10	12:27:00	23.829	23.846	23.829	23.846	11	0	18
2020.12.10	12:28:00	23.846	23.846	23.836	23.836	11	0	17
2020.12.10	12:29:00	23.836	23.838	23.816	23.828	19	0	18
2020.12.10	12:30:00	23.828	23.845	23.823	23.843	21	0	19
2020.12.10	12:31:00	23.843	23.850	23.842	23.847	20	0	19
2020.12.10	12:32:00	23.847	23.868	23.847	23.868	20	0	17
2020.12.10	12:33:00	23.865	23.878	23.860	23.860	23	0	16
2020.12.10	12:34:00	23.860	23.868	23.855	23.855	15	0	19
2020.12.10	12:35:00	23.855	23.872	23.852	23.869	17	0	18
2020.12.10	12:36:00	23.869	23.869	23.859	23.865	16	0	18
2020.12.10	12:37:00	23.867	23.877	23.867	23.877	10	0	18
2020.12.10	12:38:00	23.875	23.875	23.867	23.867	5	0	20
2020.12.10	12:39:00	23.869	23.875	23.867	23.875	8	0	18
2020.12.10	12:40:00	23.875	23.875	23.870	23.870	3	0	19
2020.12.10	12:41:00	23.870	23.875	23.870	23.875	8	0	17
2020.12.10	12:42:00	23.875	23.882	23.874	23.880	15	0	19
2020.12.10	12:43:00	23.880	23.885	23.875	23.878	10	0	19
2020.12.10	12:44:00	23.878	23.885	23.878	23.878	9	0	18
2020.12.10	12:45:00	23.878	23.880	23.873	23.878	14	0	19
2020.12.10	12:46:00	23.878	23.880	23.875	23.880	3	0	17
2020.12.10	12:47:00	23.880	23.900	23.878	23.895	9	0	18
2020.12.10	12:48:00	23.895	23.905	23.892	23.895	15	0	16
2020.12.10	12:49:00	23.895	23.925	23.895	23.925	26	0	19
2020.12.10	12:50:00	23.925	23.961	23.922	23.954	33	0	16
2020.12.10	12:51:00	23.954	23.997	23.949	23.978	69	0	16
2020.12.10	12:52:00	23.978	23.995	23.973	23.990	25	0	21
2020.12.10	12:53:00	23.993	24.012	23.988	24.010	25	0	19
2020.12.10	12:54:00	24.010	24.011	23.989	23.992	37	0	20
2020.12.10	12:55:00	23.989	23.989	23.978	23.980	29	0	19
2020.12.10	12:56:00	23.980	23.987	23.978	23.979	23	0	20
2020.12.10	12:57:00	23.982	23.982	23.974	23.976	37	0	20
2020.12.10	12:58:00	23.974	23.985	23.972	23.984	35	0	19
2020.12.10	12:59:00	23.984	23.984	23.967	23.967	17	0	20
2020.12.10	13:00:00	23.967	23.967	23.959	23.964	46	0	20
2020.12.10	13:01:00	23.965	23.967	23.952	23.952	33	0	19
2020.12.10	13:02:00	23.952	23.970	23.952	23.967	12	0	16
2020.12.10	13:03:00	23.967	23.967	23.953	23.953	19	0	22
2020.12.10	13:04:00	23.952	23.957	23.949	23.950	20	0	22
2020.12.10	13:05:00	23.947	23.947	23.942	23.945	13	0	22
2020.12.10	13:06:00	23.945	23.947	23.937	23.937	10	0	21
2020.12.10	13:07:00	23.938	23.944	23.937	23.944	22	0	20
2020.12.10	13:08:00	23.944	23.944	23.927	23.927	20	0	21
2020.12.10	13:09:00	23.927	23.936	23.926	23.929	37	0	20
2020.12.10	13:10:00	23.929	23.934	23.928	23.930	25	0	20
2020.12.10	13:11:00	23.930	23.930	23.914	23.918	30	0	20
2020.12.10	13:12:00	23.919	23.921	23.914	23.918	21	0	19
2020.12.10	13:13:00	23.918	23.933	23.918	23.932	33	0	19
2020.12.10	13:14:00	23.931	23.936	23.924	23.925	32	0	20
2020.12.10	13:15:00	23.924	23.926	23.914	23.915	32	0	21
2020.12.10	13:16:00	23.914	23.921	23.901	23.904	28	0	18
2020.12.10	13:17:00	23.903	23.909	23.899	23.908	25	0	19
2020.12.10	13:18:00	23.908	23.916	23.908	23.913	37	0	19
2020.12.10	13:19:00	23.912	23.920	23.912	23.920	15	0	20
2020.12.10	13:20:00	23.919	23.932	23.916	23.928	38	0	21
2020.12.10	13:21:00	23.927	23.927	23.911	23.912	13	0	20
2020.12.10	13:22:00	23.915	23.928	23.915	23.927	27	0	20
2020.12.10	13:23:00	23.926	23.934	23.926	23.931	25	0	19
2020.12.10	13:24:00	23.931	23.931	23.918	23.920	23	0	20
2020.12.10	13:25:00	23.922	23.922	23.912	23.913	19	0	19
2020.12.10	13:26:00	23.913	23.920	23.911	23.920	12	0	20
2020.12.10	13:27:00	23.918	23.918	23.899	23.900	22	0	19
2020.12.10	13:28:00	23.899	23.909	23.899	23.908	30	0	19
2020.12.10	13:29:00	23.908	23.909	23.907	23.907	4	0	22
2020.12.10	13:30:00	23.908	23.919	23.905	23.912	31	0	15
2020.12.10	13:31:00	23.912	23.912	23.902	23.905	22	0	20
2020.12.10	13:32:00	23.903	23.908	23.897	23.898	31	0	19
2020.12.10	13:33:00	23.898	23.898	23.895	23.895	22	0	19
2020.12.10	13:34:00	23.895	23.896	23.891	23.894	23	0	19
2020.12.10	13:35:00	23.895	23.905	23.894	23.900	36	0	21
2020.12.10	13:36:00	23.900	23.906	23.891	23.891	36	0	21
2020.12.10	13:37:00	23.892	23.892	23.886	23.886	17	0	21
2020.12.10	13:38:00	23.887	23.891	23.887	23.891	6	0	20
2020.12.10	13:39:00	23.890	23.907	23.890	23.900	19	0	22
2020.12.10	13:40:00	23.899	23.900	23.894	23.894	20	0	22
2020.12.10	13:41:00	23.894	23.901	23.889	23.899	22	0	21
2020.12.10	13:42:00	23.901	23.907	23.901	23.907	21	0	22
2020.12.10	13:43:00	23.907	23.909	23.901	23.901	22	0	22
2020.12.10	13:44:00	23.901	23.901	23.894	23.896	7	0	21
2020.12.10	13:45:00	23.896	23.909	23.896	23.909	12	0	20
