<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	6.5354	6.5361	6.5354	6.5355	29	0	10
2020.12.10	11:01:00	6.5354	6.5356	6.5350	6.5355	21	0	8
2020.12.10	11:02:00	6.5355	6.5357	6.5353	6.5357	13	0	10
2020.12.10	11:03:00	6.5356	6.5362	6.5352	6.5352	20	0	9
2020.12.10	11:04:00	6.5354	6.5366	6.5354	6.5362	48	0	10
2020.12.10	11:05:00	6.5362	6.5363	6.5354	6.5360	35	0	9
2020.12.10	11:06:00	6.5360	6.5362	6.5355	6.5357	27	0	9
2020.12.10	11:07:00	6.5357	6.5358	6.5354	6.5357	17	0	11
2020.12.10	11:08:00	6.5357	6.5357	6.5349	6.5352	30	0	10
2020.12.10	11:09:00	6.5352	6.5356	6.5349	6.5356	23	0	10
2020.12.10	11:10:00	6.5356	6.5358	6.5346	6.5346	40	0	9
2020.12.10	11:11:00	6.5346	6.5347	6.5342	6.5343	28	0	9
2020.12.10	11:12:00	6.5343	6.5347	6.5342	6.5343	21	0	9
2020.12.10	11:13:00	6.5344	6.5347	6.5343	6.5343	14	0	10
2020.12.10	11:14:00	6.5343	6.5346	6.5341	6.5343	18	0	9
2020.12.10	11:15:00	6.5343	6.5343	6.5328	6.5333	47	0	9
2020.12.10	11:16:00	6.5333	6.5344	6.5333	6.5344	21	0	9
2020.12.10	11:17:00	6.5344	6.5344	6.5336	6.5342	25	0	10
2020.12.10	11:18:00	6.5342	6.5343	6.5338	6.5340	24	0	9
2020.12.10	11:19:00	6.5340	6.5341	6.5338	6.5339	25	0	11
2020.12.10	11:20:00	6.5338	6.5340	6.5334	6.5334	30	0	10
2020.12.10	11:21:00	6.5334	6.5335	6.5332	6.5334	18	0	10
2020.12.10	11:22:00	6.5334	6.5340	6.5334	6.5335	29	0	11
2020.12.10	11:23:00	6.5335	6.5335	6.5328	6.5329	34	0	11
2020.12.10	11:24:00	6.5328	6.5334	6.5328	6.5333	9	0	9
2020.12.10	11:25:00	6.5332	6.5332	6.5324	6.5324	21	0	10
2020.12.10	11:26:00	6.5324	6.5326	6.5322	6.5322	12	0	10
2020.12.10	11:27:00	6.5322	6.5325	6.5319	6.5322	18	0	10
2020.12.10	11:28:00	6.5322	6.5322	6.5309	6.5312	34	0	9
