<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	21.7434	21.7486	21.7434	21.7451	57	0	236
2020.12.10	11:01:00	21.7451	21.7537	21.7439	21.7537	61	0	236
2020.12.10	11:02:00	21.7535	21.7561	21.7526	21.7553	59	0	257
2020.12.10	11:03:00	21.7553	21.7579	21.7537	21.7576	45	0	255
2020.12.10	11:04:00	21.7578	21.7586	21.7560	21.7563	63	0	253
2020.12.10	11:05:00	21.7561	21.7568	21.7517	21.7545	81	0	222
2020.12.10	11:06:00	21.7540	21.7547	21.7490	21.7493	58	0	233
2020.12.10	11:07:00	21.7494	21.7496	21.7459	21.7486	39	0	241
2020.12.10	11:08:00	21.7486	21.7496	21.7464	21.7467	48	0	245
2020.12.10	11:09:00	21.7468	21.7538	21.7468	21.7538	32	0	269
2020.12.10	11:10:00	21.7540	21.7546	21.7450	21.7450	44	0	228
2020.12.10	11:11:00	21.7447	21.7452	21.7419	21.7419	36	0	265
2020.12.10	11:12:00	21.7417	21.7441	21.7410	21.7432	30	0	264
2020.12.10	11:13:00	21.7434	21.7441	21.7403	21.7409	35	0	263
2020.12.10	11:14:00	21.7410	21.7426	21.7402	21.7411	39	0	263
2020.12.10	11:15:00	21.7410	21.7423	21.7394	21.7423	58	0	256
2020.12.10	11:16:00	21.7425	21.7433	21.7400	21.7408	50	0	251
2020.12.10	11:17:00	21.7410	21.7410	21.7376	21.7376	27	0	250
2020.12.10	11:18:00	21.7377	21.7380	21.7356	21.7356	42	0	245
2020.12.10	11:19:00	21.7356	21.7361	21.7297	21.7307	56	0	244
2020.12.10	11:20:00	21.7307	21.7319	21.7291	21.7297	40	0	254
2020.12.10	11:21:00	21.7296	21.7296	21.7267	21.7280	42	0	257
2020.12.10	11:22:00	21.7279	21.7297	21.7253	21.7254	57	0	256
2020.12.10	11:23:00	21.7253	21.7310	21.7251	21.7270	62	0	256
2020.12.10	11:24:00	21.7271	21.7288	21.7262	21.7288	35	0	254
2020.12.10	11:25:00	21.7291	21.7294	21.7243	21.7243	49	0	259
2020.12.10	11:26:00	21.7237	21.7266	21.7237	21.7258	41	0	256
2020.12.10	11:27:00	21.7260	21.7266	21.7233	21.7248	32	0	249
2020.12.10	11:28:00	21.7249	21.7249	21.7133	21.7159	75	0	240
2020.12.10	11:29:00	21.7163	21.7199	21.7163	21.7196	45	0	235
2020.12.10	11:30:00	21.7193	21.7247	21.7193	21.7226	41	0	206
2020.12.10	11:31:00	21.7226	21.7226	21.7151	21.7151	52	0	216
2020.12.10	11:32:00	21.7151	21.7175	21.7148	21.7159	42	0	213
