<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	104.525	104.533	104.508	104.508	77	0	8
2020.12.10	11:01:00	104.508	104.529	104.506	104.516	94	0	8
2020.12.10	11:02:00	104.515	104.517	104.507	104.514	70	0	8
2020.12.10	11:03:00	104.514	104.520	104.509	104.519	25	0	8
2020.12.10	11:04:00	104.520	104.532	104.520	104.530	73	0	8
2020.12.10	11:05:00	104.528	104.534	104.509	104.512	91	0	8
2020.12.10	11:06:00	104.512	104.519	104.507	104.515	49	0	8
2020.12.10	11:07:00	104.515	104.522	104.514	104.521	20	0	8
2020.12.10	11:08:00	104.521	104.522	104.520	104.521	9	0	8
2020.12.10	11:09:00	104.521	104.535	104.521	104.533	26	0	8
2020.12.10	11:10:00	104.533	104.537	104.530	104.532	45	0	8
2020.12.10	11:11:00	104.532	104.548	104.532	104.548	39	0	8
2020.12.10	11:12:00	104.548	104.548	104.544	104.547	36	0	8
2020.12.10	11:13:00	104.547	104.553	104.544	104.545	20	0	8
2020.12.10	11:14:00	104.545	104.547	104.541	104.545	28	0	8
2020.12.10	11:15:00	104.546	104.546	104.532	104.536	48	0	8
2020.12.10	11:16:00	104.536	104.546	104.535	104.546	52	0	8
2020.12.10	11:17:00	104.546	104.546	104.536	104.538	24	0	8
2020.12.10	11:18:00	104.537	104.538	104.533	104.535	39	0	8
2020.12.10	11:19:00	104.534	104.541	104.530	104.538	54	0	8
2020.12.10	11:20:00	104.538	104.538	104.532	104.535	34	0	8
2020.12.10	11:21:00	104.535	104.539	104.529	104.536	48	0	8
2020.12.10	11:22:00	104.536	104.541	104.535	104.535	37	0	8
2020.12.10	11:23:00	104.535	104.545	104.535	104.542	25	0	8
2020.12.10	11:24:00	104.541	104.547	104.540	104.541	33	0	8
2020.12.10	11:25:00	104.541	104.544	104.534	104.535	34	0	8
2020.12.10	11:26:00	104.535	104.538	104.532	104.532	21	0	8
2020.12.10	11:27:00	104.532	104.536	104.532	104.532	27	0	8
2020.12.10	11:28:00	104.531	104.532	104.514	104.518	29	0	8
2020.12.10	11:29:00	104.518	104.524	104.518	104.522	29	0	8
2020.12.10	11:30:00	104.522	104.531	104.521	104.522	35	0	8
2020.12.10	11:31:00	104.521	104.522	104.513	104.517	52	0	8
2020.12.10	11:32:00	104.517	104.518	104.514	104.515	31	0	8
2020.12.10	11:33:00	104.514	104.528	104.514	104.525	40	0	8
2020.12.10	11:34:00	104.525	104.525	104.513	104.520	41	0	8
2020.12.10	11:35:00	104.520	104.524	104.513	104.520	48	0	8
2020.12.10	11:36:00	104.520	104.526	104.508	104.515	62	0	8
2020.12.10	11:37:00	104.515	104.515	104.504	104.506	37	0	8
2020.12.10	11:38:00	104.506	104.510	104.505	104.505	26	0	8
2020.12.10	11:39:00	104.505	104.508	104.497	104.500	29	0	8
2020.12.10	11:40:00	104.500	104.507	104.497	104.501	39	0	8
2020.12.10	11:41:00	104.501	104.506	104.497	104.497	29	0	8
2020.12.10	11:42:00	104.498	104.506	104.493	104.494	33	0	8
2020.12.10	11:43:00	104.494	104.497	104.470	104.478	56	0	8
2020.12.10	11:44:00	104.478	104.478	104.471	104.477	31	0	8
2020.12.10	11:45:00	104.477	104.477	104.468	104.470	43	0	8
2020.12.10	11:46:00	104.470	104.470	104.464	104.464	19	0	8
2020.12.10	11:47:00	104.464	104.468	104.456	104.464	49	0	8
2020.12.10	11:48:00	104.464	104.466	104.458	104.460	24	0	8
2020.12.10	11:49:00	104.460	104.469	104.445	104.466	35	0	8
2020.12.10	11:50:00	104.466	104.468	104.450	104.453	38	0	8
2020.12.10	11:51:00	104.453	104.453	104.437	104.438	54	0	8
2020.12.10	11:52:00	104.438	104.444	104.436	104.442	56	0	8
2020.12.10	11:53:00	104.442	104.450	104.433	104.436	50	0	8
2020.12.10	11:54:00	104.434	104.443	104.434	104.436	33	0	8
2020.12.10	11:55:00	104.436	104.441	104.433	104.436	35	0	8
2020.12.10	11:56:00	104.436	104.454	104.435	104.452	43	0	8
