<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	19.87832	19.88307	19.87709	19.87888	65	0	1246
2020.12.10	11:01:00	19.87888	19.88492	19.87528	19.88492	59	0	1079
2020.12.10	11:02:00	19.88668	19.88756	19.88611	19.88754	39	0	1187
2020.12.10	11:03:00	19.88754	19.88786	19.88754	19.88786	4	0	1219
2020.12.10	11:04:00	19.88786	19.89178	19.88786	19.88818	48	0	1154
2020.12.10	11:05:00	19.88808	19.88818	19.88032	19.88157	76	0	1120
2020.12.10	11:06:00	19.88167	19.88188	19.87307	19.87350	48	0	1150
2020.12.10	11:07:00	19.87358	19.87616	19.87321	19.87582	53	0	1192
2020.12.10	11:08:00	19.87544	19.87544	19.86571	19.86590	53	0	1196
2020.12.10	11:09:00	19.86588	19.87317	19.86351	19.87214	49	0	1095
2020.12.10	11:10:00	19.87214	19.87245	19.86867	19.86941	71	0	1130
2020.12.10	11:11:00	19.86933	19.86992	19.86515	19.86519	46	0	1174
2020.12.10	11:12:00	19.86524	19.87111	19.86458	19.86739	54	0	1145
2020.12.10	11:13:00	19.86748	19.86918	19.86708	19.86891	43	0	1173
2020.12.10	11:14:00	19.86912	19.86914	19.86348	19.86587	40	0	1179
2020.12.10	11:15:00	19.86597	19.87547	19.86156	19.87488	102	0	1115
2020.12.10	11:16:00	19.87488	19.87565	19.87488	19.87515	37	0	1236
2020.12.10	11:17:00	19.87505	19.87505	19.87144	19.87190	21	0	1142
2020.12.10	11:18:00	19.87159	19.87547	19.87108	19.87202	50	0	1170
2020.12.10	11:19:00	19.87202	19.87247	19.86411	19.86427	42	0	1133
2020.12.10	11:20:00	19.86420	19.86476	19.86402	19.86448	46	0	1208
2020.12.10	11:21:00	19.86430	19.86444	19.86014	19.86444	51	0	1134
2020.12.10	11:22:00	19.86481	19.86947	19.86438	19.86588	67	0	1189
2020.12.10	11:23:00	19.86588	19.86968	19.86568	19.86808	25	0	1155
2020.12.10	11:24:00	19.86808	19.86858	19.86728	19.86808	35	0	1217
2020.12.10	11:25:00	19.86797	19.86797	19.85998	19.86008	27	0	1042
2020.12.10	11:26:00	19.86017	19.86037	19.85838	19.85858	15	0	1214
2020.12.10	11:27:00	19.85858	19.86008	19.85788	19.85828	27	0	1143
2020.12.10	11:28:00	19.85848	19.85848	19.84698	19.84758	59	0	1102
2020.12.10	11:29:00	19.84728	19.85248	19.84728	19.85168	27	0	1159
2020.12.10	11:30:00	19.85148	19.85518	19.85078	19.85107	37	0	1138
2020.12.10	11:31:00	19.85117	19.85128	19.84308	19.84488	48	0	1132
2020.12.10	11:32:00	19.84488	19.84908	19.84448	19.84878	38	0	1159
2020.12.10	11:33:00	19.84858	19.85208	19.84507	19.85188	37	0	1137
2020.12.10	11:34:00	19.85188	19.85188	19.84497	19.84497	40	0	1146
2020.12.10	11:35:00	19.84497	19.84497	19.83897	19.84078	58	0	1103
2020.12.10	11:36:00	19.84068	19.84128	19.83747	19.83747	50	0	1150
2020.12.10	11:37:00	19.83727	19.83928	19.83568	19.83698	53	0	1101
2020.12.10	11:38:00	19.83698	19.84947	19.83698	19.84817	58	0	1139
2020.12.10	11:39:00	19.84848	19.84947	19.84347	19.84828	58	0	1140
2020.12.10	11:40:00	19.84797	19.84988	19.84758	19.84947	47	0	1158
2020.12.10	11:41:00	19.84947	19.85288	19.84738	19.85267	73	0	1111
2020.12.10	11:42:00	19.85267	19.85577	19.85178	19.85378	52	0	1142
2020.12.10	11:43:00	19.85378	19.85427	19.85117	19.85218	45	0	1146
2020.12.10	11:44:00	19.85188	19.85228	19.84807	19.84848	38	0	1138
2020.12.10	11:45:00	19.84838	19.85038	19.84778	19.84898	57	0	1141
2020.12.10	11:46:00	19.84898	19.84938	19.84458	19.84458	49	0	1132
2020.12.10	11:47:00	19.84458	19.84478	19.83958	19.84058	72	0	1162
2020.12.10	11:48:00	19.84047	19.84468	19.84028	19.84158	61	0	1146
2020.12.10	11:49:00	19.84158	19.84628	19.84138	19.84608	44	0	1169
2020.12.10	11:50:00	19.84598	19.84608	19.84558	19.84608	14	0	1198
2020.12.10	11:51:00	19.84598	19.84598	19.83958	19.83958	39	0	1082
2020.12.10	11:52:00	19.83976	19.84668	19.83976	19.84638	33	0	1061
2020.12.10	11:53:00	19.84628	19.84888	19.84598	19.84807	41	0	1152
2020.12.10	11:54:00	19.84803	19.85188	19.84803	19.85188	69	0	1052
