<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	3.65925	3.66005	3.65905	3.65925	41	0	145
2020.12.10	11:01:00	3.65929	3.66005	3.65915	3.65995	34	0	150
2020.12.10	11:02:00	3.65995	3.66025	3.65975	3.66015	18	0	161
2020.12.10	11:03:00	3.66015	3.66055	3.65985	3.66045	20	0	163
2020.12.10	11:04:00	3.66055	3.66065	3.66025	3.66035	40	0	155
2020.12.10	11:05:00	3.66035	3.66045	3.65995	3.66035	39	0	153
2020.12.10	11:06:00	3.66035	3.66055	3.65975	3.65985	41	0	130
2020.12.10	11:07:00	3.65985	3.65995	3.65945	3.65945	26	0	150
2020.12.10	11:08:00	3.65945	3.65985	3.65915	3.65975	36	0	156
2020.12.10	11:09:00	3.65975	3.66115	3.65975	3.66115	37	0	159
2020.12.10	11:10:00	3.66115	3.66135	3.66095	3.66095	27	0	156
2020.12.10	11:11:00	3.66095	3.66105	3.66025	3.66025	26	0	170
2020.12.10	11:12:00	3.66025	3.66080	3.66015	3.66073	41	0	170
2020.12.10	11:13:00	3.66073	3.66087	3.66016	3.66018	31	0	166
2020.12.10	11:14:00	3.66018	3.66065	3.66015	3.66028	35	0	170
2020.12.10	11:15:00	3.66025	3.66035	3.65988	3.66025	80	0	165
2020.12.10	11:16:00	3.66025	3.66045	3.65991	3.66005	43	0	170
2020.12.10	11:17:00	3.66005	3.66006	3.65953	3.65970	42	0	178
2020.12.10	11:18:00	3.65970	3.65970	3.65882	3.65882	55	0	163
2020.12.10	11:19:00	3.65880	3.65892	3.65760	3.65785	68	0	160
2020.12.10	11:20:00	3.65785	3.65815	3.65778	3.65815	41	0	150
2020.12.10	11:21:00	3.65815	3.65817	3.65755	3.65805	45	0	155
2020.12.10	11:22:00	3.65805	3.65835	3.65733	3.65736	75	0	150
2020.12.10	11:23:00	3.65735	3.65855	3.65732	3.65755	62	0	160
2020.12.10	11:24:00	3.65755	3.65795	3.65741	3.65795	52	0	177
2020.12.10	11:25:00	3.65795	3.65825	3.65725	3.65725	53	0	159
