<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.10	11:00:00	45.51	45.52	45.48	45.48	12	0	3
2020.12.10	11:01:00	45.48	45.48	45.42	45.46	27	0	3
2020.12.10	11:02:00	45.45	45.48	45.45	45.47	26	0	3
2020.12.10	11:03:00	45.48	45.49	45.46	45.47	10	0	3
2020.12.10	11:04:00	45.47	45.54	45.46	45.53	32	0	2
2020.12.10	11:05:00	45.54	45.57	45.53	45.57	22	0	2
2020.12.10	11:06:00	45.57	45.59	45.57	45.58	15	0	2
2020.12.10	11:07:00	45.58	45.59	45.57	45.58	27	0	2
2020.12.10	11:08:00	45.58	45.63	45.58	45.62	27	0	2
2020.12.10	11:09:00	45.62	45.64	45.59	45.59	14	0	2
2020.12.10	11:10:00	45.60	45.62	45.59	45.61	16	0	2
2020.12.10	11:11:00	45.60	45.61	45.60	45.61	10	0	2
2020.12.10	11:12:00	45.61	45.62	45.59	45.61	17	0	2
2020.12.10	11:13:00	45.62	45.62	45.58	45.59	16	0	2
2020.12.10	11:14:00	45.58	45.59	45.58	45.59	10	0	2
2020.12.10	11:15:00	45.60	45.61	45.60	45.60	3	0	2
2020.12.10	11:16:00	45.61	45.61	45.59	45.60	26	0	2
2020.12.10	11:17:00	45.60	45.60	45.59	45.59	4	0	2
2020.12.10	11:18:00	45.60	45.60	45.56	45.57	16	0	2
2020.12.10	11:19:00	45.56	45.59	45.55	45.59	18	0	2
2020.12.10	11:20:00	45.60	45.60	45.58	45.59	12	0	2
2020.12.10	11:21:00	45.59	45.60	45.58	45.58	10	0	2
2020.12.10	11:22:00	45.58	45.59	45.57	45.59	18	0	2
2020.12.10	11:23:00	45.59	45.59	45.57	45.59	15	0	2
2020.12.10	11:24:00	45.59	45.60	45.58	45.59	7	0	2
2020.12.10	11:25:00	45.59	45.63	45.59	45.62	13	0	2
2020.12.10	11:26:00	45.62	45.65	45.62	45.63	5	0	2
2020.12.10	11:27:00	45.63	45.65	45.63	45.64	18	0	2
2020.12.10	11:28:00	45.64	45.65	45.63	45.64	23	0	2
2020.12.10	11:29:00	45.64	45.65	45.63	45.63	6	0	2
2020.12.10	11:30:00	45.63	45.63	45.62	45.62	6	0	2
2020.12.10	11:31:00	45.61	45.64	45.61	45.64	6	0	2
2020.12.10	11:32:00	45.64	45.65	45.63	45.63	8	0	2
2020.12.10	11:33:00	45.63	45.68	45.63	45.67	26	0	2
2020.12.10	11:34:00	45.68	45.68	45.67	45.68	13	0	2
2020.12.10	11:35:00	45.68	45.68	45.67	45.67	4	0	2
2020.12.10	11:36:00	45.67	45.70	45.67	45.69	18	0	2
2020.12.10	11:37:00	45.69	45.69	45.67	45.67	9	0	2
2020.12.10	11:38:00	45.67	45.67	45.59	45.59	31	0	2
2020.12.10	11:39:00	45.59	45.59	45.54	45.56	26	0	2
2020.12.10	11:40:00	45.56	45.59	45.55	45.58	19	0	2
2020.12.10	11:41:00	45.59	45.59	45.57	45.58	10	0	2
2020.12.10	11:42:00	45.58	45.60	45.57	45.58	23	0	2
2020.12.10	11:43:00	45.57	45.59	45.57	45.59	9	0	2
2020.12.10	11:44:00	45.59	45.59	45.57	45.58	10	0	2
2020.12.10	11:45:00	45.57	45.58	45.53	45.55	17	0	2
2020.12.10	11:46:00	45.56	45.56	45.54	45.54	10	0	2
2020.12.10	11:47:00	45.55	45.58	45.55	45.57	7	0	2
2020.12.10	11:48:00	45.56	45.57	45.55	45.56	9	0	2
2020.12.10	11:49:00	45.55	45.57	45.55	45.57	5	0	2
2020.12.10	11:50:00	45.56	45.57	45.56	45.57	4	0	2
2020.12.10	11:51:00	45.57	45.58	45.56	45.58	6	0	2
2020.12.10	11:52:00	45.57	45.58	45.56	45.57	5	0	2
2020.12.10	11:53:00	45.57	45.57	45.56	45.57	5	0	2
2020.12.10	11:54:00	45.57	45.58	45.57	45.57	9	0	2
